t,S,I,R,D,beta,gamma,mu,R0
0.0,5949942.0,1.3911133,12382.017,1666.8239,0.011949446,0.030007022,0.00013027724,0.39650023
1.0,5949942.0,1.3745117,12382.001,1666.8213,0.011957299,0.030007007,0.00013014785,0.3967627
2.0,5949942.0,1.3618164,12381.983,1666.8186,0.011965197,0.030006992,0.00013001924,0.39702663
3.0,5949942.0,1.3461914,12381.972,1666.8162,0.011973144,0.030006977,0.00012989141,0.39729223
4.0,5949942.0,1.331543,12381.953,1666.8137,0.011981136,0.030006962,0.0001297644,0.39755931
5.0,5949942.0,1.3198242,12381.942,1666.811,0.011989177,0.030006947,0.00012963821,0.39782798
6.0,5949942.0,1.3076172,12381.927,1666.8086,0.011997267,0.030006932,0.00012951279,0.39809826
7.0,5949942.0,1.2949219,12381.912,1666.8059,0.012005404,0.030006917,0.00012938815,0.39837012
8.0,5949942.0,1.28125,12381.898,1666.8033,0.012013591,0.030006902,0.00012926428,0.39864364
9.0,5949942.0,1.269043,12381.885,1666.8009,0.012021825,0.030006887,0.00012914123,0.3989187
10.0,5949942.0,1.2563477,12381.869,1666.7982,0.012030111,0.030006872,0.00012901891,0.39919543
11.0,5949942.0,1.2436523,12381.855,1666.7957,0.012038445,0.03000686,0.00012889737,0.3994738
12.0,5949942.0,1.230957,12381.844,1666.7932,0.012046831,0.030006845,0.00012877659,0.39975387
13.0,5949942.0,1.2216797,12381.827,1666.7906,0.012055267,0.03000683,0.00012865657,0.4000356
14.0,5949942.0,1.2124023,12381.814,1666.7882,0.012063754,0.030006817,0.00012853731,0.40031898
15.0,5949942.0,1.1972656,12381.801,1666.7856,0.012072291,0.030006802,0.00012841882,0.40060404
16.0,5949942.0,1.1875,12381.792,1666.7833,0.012080882,0.030006789,0.00012830108,0.40089086
17.0,5949942.0,1.175293,12381.777,1666.7808,0.0120895235,0.030006774,0.00012818405,0.40117937
18.0,5949942.0,1.1669922,12381.764,1666.7782,0.012098216,0.03000676,0.00012806775,0.40146956
19.0,5949942.0,1.1538086,12381.753,1666.7758,0.012106964,0.030006746,0.0001279522,0.4017616
20.0,5949942.0,1.1459961,12381.741,1666.7734,0.012115764,0.030006733,0.00012783741,0.40205532
21.0,5949942.0,1.1362305,12381.727,1666.7708,0.0121246185,0.030006718,0.00012772331,0.40235087
22.0,5949942.0,1.1254883,12381.717,1666.7683,0.012133528,0.030006705,0.00012760994,0.4026482
