day,S,I,R,D,beta,gamma,mu,R0
0,99900.0,100.0,0.0,0.0,0.1,0.06,0.003,1.5873015873015874
1,99889.82393189734,103.75840099203867,6.112063914893748,0.3056031957446893,0.1,0.06,0.003,1.5873015873015874
2,99879.2665568147,107.65694182540147,12.45381081893547,0.6226905409467753,0.1,0.06,0.003,1.5873015873015874
3,99868.31374488457,111.70076239605615,19.033802589876874,0.9516901294938458,0.1,0.06,0.003,1.5873015873015874
4,99856.95085572057,115.89518422148141,25.86091434090491,1.2930457170452476,0.1,0.06,0.003,1.5873015873015874
5,99845.16271899782,120.24571699621728,32.944346672352104,1.6472173336176072,0.1,0.06,0.003,1.5873015873015874
6,99832.93361739429,124.75806432118631,40.29363646146503,2.0146818230732535,0.1,0.06,0.003,1.5873015873015874
7,99820.24726801066,129.4381299180461,47.91866863934037,2.3959334319670202,0.1,0.06,0.003,1.5873015873015874
8,99807.08680294875,134.29202409606498,55.82968852875695,2.791484426437849,0.1,0.06,0.003,1.5873015873015874
9,99793.43474949268,139.32607031792963,64.03731446609052,3.201865723304528,0.1,0.06,0.003,1.5873015873015874
10,99779.27300977179,144.54681189652422,72.55255079209991,3.6276275396049975,0.1,0.06,0.003,1.5873015873015874
11,99764.582839734,149.96101887839396,81.3868013215454,4.069340066077273,0.1,0.06,0.003,1.5873015873015874
12,99749.34482842809,155.57569484167266,90.55188260024786,4.527594130012395,0.1,0.06,0.003,1.5873015873015874
13,99733.53887447657,161.39808442546112,100.06003914093976,5.00300195704699,0.1,0.06,0.003,1.5873015873015874
14,99717.1441648772,167.43568024212092,109.92395702923551,5.496197851461777,0.1,0.06,0.003,1.5873015873015874
15,99700.13915030971,173.69623067430638,120.15678001524856,6.007839000762429,0.1,0.06,0.003,1.5873015873015874
16,99682.50152241657,180.18774715662957,130.77212421602945,6.538606210801473,0.1,0.06,0.003,1.5873015873015874
17,99664.20818834195,186.91851212417714,141.78409479419815,7.08920473970991,0.1,0.06,0.003,1.5873015873015874
18,99645.23524612165,193.8970867198515,153.20730205573864,7.660365102786933,0.1,0.06,0.003,1.5873015873015874
19,99625.55795873971,201.1323188179452,165.05687851654935,8.252843925827468,0.1,0.06,0.003,1.5873015873015874
20,99605.1507275305,208.6333511310034,177.34849651287803,8.867424825643903,0.1,0.06,0.003,1.5873015873015874
21,99583.98706553238,216.40962934168252,190.09838583426875,9.504919291713438,0.1,0.06,0.003,1.5873015873015874
22,99562.03956834265,224.47091062874117,203.32335336061848,10.166167668030925,0.1,0.06,0.003,1.5873015873015874
23,99539.27988893187,232.82727154904816,217.04079954203402,10.852039977101702,0.1,0.06,0.003,1.5873015873015874
24,99515.67870913536,241.48911645188923,231.268737535984,11.5634368767992,0.1,0.06,0.003,1.5873015873015874
25,99491.20570520006,250.46718662315826,246.02581731125377,12.301290865562688,0.1,0.06,0.003,1.5873015873015874
26,99465.82952019908,259.77256872791423,261.3313438790722,13.06656719395361,0.1,0.06,0.003,1.5873015873015874
27,99439.51773274317,269.41670356468853,277.2052987544489,13.860264937722446,0.1,0.06,0.003,1.5873015873015874
28,99412.23683056534,279.4113931763293,293.6683583412959,14.683417917064796,0.1,0.06,0.003,1.5873015873015874
29,99383.95217396627,289.76881092969046,310.7419191467355,15.537095957336774,0.1,0.06,0.003,1.5873015873015874
30,99354.62796361823,300.5015100923296,328.4481202756894,16.42240601378447,0.1,0.06,0.003,1.5873015873015874
31,99324.2272114515,311.6224308660846,346.80986445946814,17.340493222973407,0.1,0.06,0.003,1.5873015873015874
32,99292.711704873,323.1449100338163,365.8508429459148,18.29254214729574,0.1,0.06,0.003,1.5873015873015874
33,99260.04197333958,335.0826892401634,385.5955594478866,19.27977797239433,0.1,0.06,0.003,1.5873015873015874
34,99226.17725593169,347.449921916408,406.06935443040675,20.303467721520338,0.1,0.06,0.003,1.5873015873015874
35,99191.07546587814,360.26118237447406,427.29843023562677,21.36492151178134,0.1,0.06,0.003,1.5873015873015874
36,99154.69315607665,373.5314735322291,449.3098765629878,22.465493828149395,0.1,0.06,0.003,1.5873015873015874
37,99116.98548637015,387.2762327932876,472.13169603484425,23.606584801742216,0.1,0.06,0.003,1.5873015873015874
38,99077.90618676652,401.5113407389446,495.7928309472022,24.789641547360116,0.1,0.06,0.003,1.5873015873015874
39,99037.4075225714,416.2531278776684,520.3231900485166,26.01615950242584,0.1,0.06,0.003,1.5873015873015874
40,98995.4402621197,431.5183790346572,545.7536750911092,27.287683754555474,0.1,0.06,0.003,1.5873015873015874
41,98951.95363928138,447.3243412249677,572.1162090415914,28.60581045207958,0.1,0.06,0.003,1.5873015873015874
42,98906.89531891113,463.6887289450943,599.4437639464545,29.972188197322733,0.1,0.06,0.003,1.5873015873015874
43,98860.2113660366,480.62972646032017,627.7703880981852,31.388519404909268,0.1,0.06,0.003,1.5873015873015874
44,98811.84620821619,498.16599443035915,657.1312355747267,32.85656177873634,0.1,0.06,0.003,1.5873015873015874
45,98761.74260225937,516.3166731337326,687.5625948637249,34.37812974318626,0.1,0.06,0.003,1.5873015873015874
46,98709.84160605754,535.1013819400707,719.1019161927642,35.955095809638216,0.1,0.06,0.003,1.5873015873015874
