day,S,I,R,D,beta,gamma,mu,R0
0,99900.0,100.0,0.0,0.0,0.15,0.06,0.003,2.380952380952381
1,99884.3539245934,109.06458193961227,6.268089016182979,0.31340445080916923,0.14986301369863014,0.06,0.003,2.3787779952163515
2,99867.30937003059,118.93164416887835,13.103796000501458,0.6551898000250878,0.14972602739726026,0.06,0.003,2.3766036094803216
3,99848.74463951861,129.67018269634445,20.55731217624059,1.0278656088120244,0.1495890410958904,0.06,0.003,2.374429223744292
4,99828.52781808886,141.35488782347053,28.683137226360582,1.4341568613180002,0.14945205479452053,0.06,0.003,2.372254838008262
5,99806.51596099537,154.06658320841427,37.54043409163775,1.8770217045818485,0.14931506849315068,0.06,0.003,2.370080452272233
6,99782.55422466589,167.89269398298106,47.193410810602465,2.359670540530084,0.1491780821917808,0.06,0.003,2.3679060665362033
7,99756.47493712722,182.92774511875186,57.71173119431763,2.8855865597158417,0.14904109589041095,0.06,0.003,2.365731680800174
8,99728.09660355982,199.2738918156063,69.17095678529536,3.458547839264728,0.1489041095890411,0.06,0.003,2.3635572950641444
9,99697.22284551497,217.04148207725564,81.65302134072044,4.082651067035983,0.14876712328767122,0.06,0.003,2.3613829093281145
10,99663.6412699992,236.3496526294104,95.24674035368827,4.762337017684374,0.14863013698630137,0.06,0.003,2.3592085235920854
11,99627.12226738226,257.3269583710894,110.04835642537542,5.5024178212687325,0.1484931506849315,0.06,0.003,2.3570341378560555
12,99587.41773408404,280.11203580152704,126.16212391849785,6.308106195924854,0.14835616438356164,0.06,0.003,2.354859752120026
13,99544.25971499132,304.85430164436,143.70093653744468,7.185046826872195,0.1482191780821918,0.06,0.003,2.3526853663839966
14,99497.35897450492,331.71468212476526,162.78699368600527,8.139349684300225,0.1480821917808219,0.06,0.003,2.3505109806479667
15,99446.40348118804,360.8663775047297,183.5525155306962,9.177625776534772,0.14794520547945206,0.06,0.003,2.3483365949119372
16,99391.05682065959,392.49565306918424,206.14050121069278,10.307025060534599,0.14780821917808218,0.06,0.003,2.346162209175908
17,99330.95652265984,426.8026617555438,230.7055386520245,11.535276932601185,0.14767123287671233,0.06,0.003,2.3439878234398783
18,99265.71231671827,464.0022876536467,257.41466250293524,12.870733125146725,0.14753424657534245,0.06,0.003,2.3418134377038484
19,99194.90431262173,504.3250102104857,286.44826396931353,14.32241319846564,0.1473972602739726,0.06,0.003,2.339639051967819
20,99118.0811122249,548.0177821355836,318.00105299001865,15.900052649500894,0.14726027397260275,0.06,0.003,2.3374646662317895
21,99034.75786400819,595.3449098403714,352.2830725251791,17.614153626258915,0.14712328767123287,0.06,0.003,2.3352902804957596
22,98944.41425892655,646.5889356187174,389.52076709974904,19.476038354987413,0.14698630136986301,0.06,0.003,2.3331158947597306
23,98846.49249586393,702.0514971819409,429.95810186107127,21.49790509305352,0.14684931506849314,0.06,0.003,2.3309415090237007
24,98740.39521318619,762.054165600149,473.8577344892069,23.692886724460305,0.14671232876712328,0.06,0.003,2.328767123287671
25,98625.48342041376,826.9392330597955,521.5022347870935,26.07511173935463,0.14657534246575343,0.06,0.003,2.3265927375516418
26,98501.07444695101,897.0704360514347,573.1953495214858,28.659767476074247,0.14643835616438355,0.06,0.003,2.324418351815612
27,98366.4399277774,972.8335964083848,629.2633102992344,31.46316551496168,0.1463013698630137,0.06,0.003,2.3222439660795824
28,98220.80388177463,1054.6371374657738,690.0561721519942,34.50280860759967,0.14616438356164382,0.06,0.003,2.320069580343553
29,98063.34088138686,1142.9124734374757,755.9491858815737,37.79745929407865,0.14602739726027397,0.06,0.003,2.3178951946075235
30,97893.17441236357,1238.1141988057166,827.3441798387565,41.367208991937794,0.1458904109589041,0.06,0.003,2.3157208088714936
31,97709.37541531702,1340.720081261597,904.6709556393971,45.233547781969826,0.14575342465753424,0.06,0.003,2.313546423135464
32,97510.96112097416,1451.230776482916,988.3886690884906,49.41943345442451,0.1456164383561644,0.06,0.003,2.3113720373994346
33,97296.89421485957,1570.1692385324586,1078.9871872456858,53.94935936228427,0.1454794520547945,0.06,0.003,2.3091976516634047
34,97066.08240662655,1698.0797700000549,1176.9884032127402,58.84942016063698,0.14534246575342466,0.06,0.003,2.3070232659273757
35,96817.3785251089,1835.5266304359136,1282.9474709096892,64.14737354548443,0.14520547945205478,0.06,0.003,2.304848880191346
36,96549.58116002571,1983.092183174648,1397.4539588567782,69.87269794283887,0.14506849315068493,0.06,0.003,2.3026744944553164
37,96261.436048831,2141.3744530096515,1521.132855389838,76.05664276949187,0.14493150684931505,0.06,0.003,2.3005001087192865
38,95951.6382102131,2310.9840879839503,1654.6454302885024,82.7322715144251,0.1447945205479452,0.06,0.003,2.298325722983257
39,95618.8350360427,2492.540593613079,1798.6898765183053,89.93449382591524,0.14465753424657535,0.06,0.003,2.2961513372472275
40,95261.63039480476,2686.667808227958,1954.0017113974147,97.70008556987071,0.14452054794520547,0.06,0.003,2.293976951511198
41,94878.58990057211,2893.9885214730825,2121.353883766475,106.06769418832371,0.14438356164383562,0.06,0.003,2.2918025657751686
42,94468.24747449749,3115.1181820096895,2301.556517612208,115.07782588061035,0.14424657534246574,0.06,0.003,2.2896281800391387
43,94029.11329355963,3350.6576213567846,2495.4562715081684,124.77281357540839,0.1441095890410959,0.06,0.003,2.2874537943031092
44,93559.68327013525,3601.184766117607,2703.9352035687034,135.19676017843514,0.14397260273972604,0.06,0.003,2.28527940856708
45,93058.45013487143,3867.2452736664495,2927.9091347258286,146.3954567362914,0.14383561643835616,0.06,0.003,2.28310502283105
46,92523.91622224248,4149.342112144307,3168.3253958221094,158.41626979110544,0.1436986301369863,0.06,0.003,2.280930637095021
47,91954.60797858624,4447.924091837624,3426.1599329296632,171.30799664648313,0.14356164383561643,0.06,0.003,2.278756251358991
48,91349.09228627328,4763.3733453948635,3702.4136841255695,185.12068420627847,0.14342465753424657,0.06,0.003,2.2765818656229615
49,90705.99441626873,5095.9919885589925,3998.1081858783496,199.90540929391747,0.1432876712328767,0.06,0.003,2.2744074798869316
50,90024.01781008541,5445.98783137989,4314.28034146161,215.7140170730805,0.14315068493150684,0.06,0.003,2.272233094150902
51,89301.96515011569,5813.459699413022,4651.976333782177,232.59881668910884,0.143013698630137,0.06,0.003,2.2700587084148727
52,88538.76099789258,6198.382152844339,5012.244618345794,250.6122309172897,0.1428767123287671,0.06,0.003,2.267884322678843
53,87733.47524804316,6600.590331517268,5396.128019466249,269.80640097331246,0.14273972602739726,0.06,0.003,2.2657099369428138
54,86885.34736991696,7019.764967971299,5804.654916296888,290.2327458148444,0.14260273972602738,0.06,0.003,2.263535551206784
55,85993.81092583247,7455.418074574667,6238.82952342178,311.94147617108905,0.14246575342465753,0.06,0.003,2.2613611654707544
56,85058.51758706267,7906.879928749998,6699.621413511746,334.9810706755874,0.14232876712328768,0.06,0.003,2.259186779734725
57,84079.36066021142,8373.287441227556,7187.9541891057415,359.39770945528716,0.1421917808219178,0.06,0.003,2.2570123939986955
58,83056.49660391035,8853.575036446724,7704.693675850411,385.23468379252057,0.14205479452054795,0.06,0.003,2.254838008262666
59,81990.36484316425,9346.4679079208,8250.635475157094,412.5317737578548,0.14191780821917807,0.06,0.003,2.252663622526636
60,80881.70421393811,9850.478809683516,8826.492358455596,441.3246179227799,0.14178082191780822,0.06,0.003,2.2504892367906066
61,79731.56608613557,10363.908357963679,9432.88148181024,471.6440740905121,0.14164383561643834,0.06,0.003,2.2483148510545767
62,78541.32296327142,10884.849685474026,10070.311763099577,503.5155881549789,0.1415068493150685,0.06,0.003,2.2461404653185473
63,77312.67231329132,11411.197372749531,10739.171727580155,536.9585863790078,0.14136986301369864,0.06,0.003,2.2439660795825183
64,76047.63477777204,11940.661411600786,11439.717914883036,571.9858957441519,0.14123287671232876,0.06,0.003,2.2417916938464884
65,74748.54687167089,12470.785495485808,12172.064412231726,608.6032206115864,0.1410958904109589,0.06,0.003,2.239617308110459
66,73418.04729482747,12998.970546378921,12936.173484565346,646.8086742282675,0.14095890410958903,0.06,0.003,2.237442922374429
67,72059.05760352286,13522.502136779629,13731.847866378586,686.5923933189296,0.14082191780821918,0.06,0.003,2.2352685366383995
68,70674.75682128499,14038.582210345598,14558.724731780392,727.9362365890198,0.1406849315068493,0.06,0.003,2.2330941509023696
69,69268.5505227515,14544.364133083553,15416.271756347576,770.813587817379,0.14054794520547945,0.06,0.003,2.2309197651663406
70,67844.03559237452,15036.989898456906,16303.785246827203,815.1892623413604,0.1404109589041096,0.06,0.003,2.228745379430311
71,66404.96000839512,15513.629720390425,17220.390734489956,861.019536724498,0.14027397260273972,0.06,0.003,2.2265709936942812
72,64955.18075174749,15971.521243766023,18165.045718558555,908.252285927928,0.14013698630136986,0.06,0.003,2.224396607958252
73,63498.61834595747,16408.009352463367,19136.54504912301,956.8272524561507,0.13999999999999999,0.06,0.003,2.222222222222222
74,62039.21167122962,16820.58353492403,20133.52837509176,1006.6764187545882,0.13986301369863013,0.06,0.003,2.2200478364861924
75,60580.872159131395,17206.913378495505,21154.48996416485,1057.724498208243,0.13972602739726028,0.06,0.003,2.2178734507501634
76,59127.439908948756,17564.880080279298,22197.79048644947,1109.889524322474,0.1395890410958904,0.06,0.003,2.2156990650141335
77,57682.64194743887,17892.604056609838,23261.670472334557,1163.0835236167284,0.13945205479452055,0.06,0.003,2.213524679278104
78,56250.05410274677,18188.467115951124,24344.265506002,1217.2132753001006,0.13931506849315067,0.06,0.003,2.211350293542074
79,54833.0667281506,18451.129876754636,25443.622281042622,1272.1811140521318,0.13917808219178082,0.06,0.003,2.2091759078060447
80,53434.85564667276,18679.542704497017,26557.715856028775,1327.8857928014393,0.13904109589041097,0.06,0.003,2.207001522070015
81,52058.35778871129,18872.95174033074,27684.467115198047,1384.2233557599031,0.1389041095890411,0.06,0.003,2.2048271363339857
82,50706.252630412055,19030.898714048984,28821.760624322807,1441.0880312161412,0.13876712328767124,0.06,0.003,2.2026527505979563
83,49380.94899524463,19153.21571255841,29967.4621830447,1498.3731091522359,0.13863013698630136,0.06,0.003,2.2004783648619264
84,48084.57684599453,19240.015342236315,31119.4360112087,1555.971800560436,0.1384931506849315,0.06,0.003,2.198303979125897
85,46818.98482951825,19291.67600232641,32275.56111252887,1613.7780556264443,0.13835616438356163,0.06,0.003,2.196129593389867
86,45585.74143520591,19308.824445336544,33433.746780435744,1671.687339021788,0.13821917808219178,0.06,0.003,2.1939552076538376
87,44386.141390572215,19292.314476422955,34591.94679333791,1729.5973396668962,0.13808219178082193,0.06,0.003,2.1917808219178085
88,43221.214619760605,19243.204313660743,35748.1724443606,1787.4086222180306,0.13794520547945205,0.06,0.003,2.1896064361817786
89,42091.73892989941,19162.73184818593,36900.504020871085,1845.025201043555,0.1378082191780822,0.06,0.003,2.187432050445749
90,40998.25461836518,19052.289505750374,38047.10083417564,1902.355041708783,0.13767123287671232,0.06,0.003,2.1852576647097193
91,39941.081082928315,18913.398653141976,39186.209775171126,1959.3104887585573,0.13753424657534247,0.06,0.003,2.18308327897369
92,38920.334591978724,18747.684596398813,40316.172201545174,2015.8086100772598,0.1373972602739726,0.06,0.003,2.18090889323766
93,37935.94684971252,18556.852114207573,41435.429558171316,2071.771477908567,0.13726027397260274,0.06,0.003,2.178734507501631
94,36987.68375311656,18342.66255497474,42542.527325627314,2127.1263662813662,0.13712328767123289,0.06,0.003,2.1765601217656014
95,36075.16418067093,18106.91206789606,43636.1178585076,2181.8058929253807,0.136986301369863,0.06,0.003,2.1743857360295715
96,35197.8782313916,17851.411875839163,44714.961802637335,2235.7480901318677,0.13684931506849315,0.06,0.003,2.172211350293542
97,34355.2048206114,17577.970275054067,45777.92848031857,2288.8964240159294,0.13671232876712328,0.06,0.003,2.170036964557512
98,33546.4284613157,17288.3765548051,46823.995222742065,2341.199761137104,0.13657534246575342,0.06,0.003,2.1678625788214827
99,32770.75478857491,16984.387135958674,47852.24578615847,2392.612289307924,0.13643835616438355,0.06,0.003,2.1656881930854532
100,32027.325259265614,16667.713314247703,48861.86802522538,2443.0934012612697,0.1363013698630137,0.06,0.003,2.163513807349424
101,31315.23027326165,16340.01132537531,49852.15085844096,2492.607542922049,0.13616438356164384,0.06,0.003,2.1613394216133943
102,30633.521424579023,16002.87382667555,50822.48071309085,2541.1240356545436,0.13602739726027396,0.06,0.003,2.1591650358773644
