day,S,I,R,D,beta,gamma,mu,R0
0,9999000.0,1000.0,0.0,0.0,0.15,0.06,0.003,2.380952380952381
1,9998843.299739005,1090.8790535412056,62.68686423752,3.1343432118760033,0.15,0.06,0.003,2.380952380952381
2,9998672.361718943,1190.0141860407832,131.07056667662107,6.5535283338310615,0.15,0.06,0.003,2.380952380952381
3,9998485.89305292,1298.1548829253597,205.66863252466737,10.283431626233376,0.15,0.06,0.003,2.380952380952381
4,9998282.483593456,1416.118562964634,287.0455653075016,14.352278265375087,0.15,0.06,0.003,2.380952380952381
5,9998060.595327443,1544.7967141067572,375.81710328092396,18.790855164046206,0.15,0.06,0.003,2.380952380952381
6,9997818.550847981,1685.1615618665203,472.65484775848165,23.63274238792409,0.15,0.06,0.003,2.380952380952381
7,9997554.520653911,1838.2734138477774,578.2913640351492,28.914568201757465,0.15,0.06,0.003,2.380952380952381
8,9997266.509527637,2005.288535338825,693.5256543054146,34.67628271527074,0.15,0.06,0.003,2.380952380952381
9,9996952.341510762,2187.4678327810725,819.229196622321,40.96145983111606,0.15,0.06,0.003,2.380952380952381
10,9996609.643614465,2386.186265508051,956.3524952589736,47.81762476294869,0.15,0.06,0.003,2.380952380952381
11,9996235.82805511,2602.943105846976,1105.932227656212,55.2966113828106,0.15,0.06,0.003,2.380952380952381
12,9995828.072899368,2839.373113434249,1269.0990354228754,63.45495177114377,0.15,0.06,0.003,2.380952380952381
13,9995383.300979055,3097.258703212861,1447.0860168831352,72.35430084415677,0.15,0.06,0.003,2.380952380952381
14,9994898.157008328,3378.543145293347,1641.2379489293958,82.06189744646979,0.15,0.06,0.003,2.380952380952381
15,9994368.982474633,3685.3450400332895,1853.0214146014814,92.65107073007408,0.15,0.06,0.003,2.380952380952381
16,9993791.788516322,4019.9739466223923,2084.0357495728126,104.20178747864064,0.15,0.06,0.003,2.380952380952381
17,9993162.226257376,4384.947465616366,2336.0250257172106,116.80125128586053,0.15,0.06,0.003,2.380952380952381
18,9992475.554636268,4783.009752098346,2610.891058695355,130.54455293476775,0.15,0.06,0.003,2.380952380952381
19,9991726.605305549,5217.151699711449,2910.707614033701,145.53538070168506,0.15,0.06,0.003,2.380952380952381
20,9990909.744504217,5690.632847938422,3237.7358550863846,161.88679275431923,0.15,0.06,0.003,2.380952380952381
21,9990018.831575682,6207.005194862364,3594.441170906397,179.72205854531984,0.15,0.06,0.003,2.380952380952381
22,9989047.173897991,6770.139045488456,3983.5114823963836,199.1755741198192,0.15,0.06,0.003,2.380952380952381
23,9987987.477886047,7384.251082192284,4407.877173101987,220.3938586550994,0.15,0.06,0.003,2.380952380952381
24,9986831.795756975,8053.934826394636,4870.732777739508,243.53663888697545,0.15,0.06,0.003,2.380952380952381
25,9985571.467737159,8784.19366684014,5375.5605676162995,268.7780283808151,0.15,0.06,0.003,2.380952380952381
26,9984197.0593391,9580.476655845472,5926.156195284994,296.3078097642498,0.15,0.06,0.003,2.380952380952381
27,9982698.29328606,10448.717297307969,6526.656587264648,326.3328293632324,0.15,0.06,0.003,2.380952380952381
