day,S,I,R,D,beta,gamma,mu,R0
0,9999000.0,1201.954440620743,0.0,23.32280848775755,0.15,0.06,0.003,2.380952380952381
1,9998843.299739005,1034.6634425473044,62.68686423752,4.444918870024826,0.15,0.06,0.003,2.380952380952381
2,9998672.361718943,1453.3519138176566,131.07056667662107,16.719335423303175,0.15,0.06,0.003,2.380952380952381
3,9998485.89305292,1917.389589315169,205.66863252466737,0.0,0.15,0.06,0.003,2.380952380952381
4,9998282.483593456,1320.9162951713079,287.0455653075016,16.90321659059075,0.15,0.06,0.003,2.380952380952381
5,9998060.595327443,1449.6011214652779,375.81710328092396,70.62087944738755,0.15,0.06,0.003,2.380952380952381
6,9997818.550847981,2327.239181043383,472.65484775848165,174.66299641255537,0.15,0.06,0.003,2.380952380952381
7,9997554.520653911,2150.297644483103,578.2913640351492,128.75232082929017,0.15,0.06,0.003,2.380952380952381
8,9997266.509527637,1814.4092611677988,693.5256543054146,258.77243127872885,0.15,0.06,0.003,2.380952380952381
9,9996952.341510762,2408.0623325377396,819.229196622321,0.0,0.15,0.06,0.003,2.380952380952381
10,9996609.643614465,2197.769526507703,956.3524952589736,138.60588765240624,0.15,0.06,0.003,2.380952380952381
11,9996235.82805511,2413.5863273204923,1105.932227656212,74.37824434546609,0.15,0.06,0.003,2.380952380952381
12,9995828.072899368,2937.7503287988725,1269.0990354228754,291.3624390047982,0.15,0.06,0.003,2.380952380952381
13,9995383.300979055,2319.355679475492,1447.0860168831352,0.0,0.15,0.06,0.003,2.380952380952381
14,9994898.157008328,2677.2246628823245,1641.2379489293958,0.0,0.15,0.06,0.003,2.380952380952381
15,9994368.982474633,3456.729723261125,1853.0214146014814,30.268255538228303,0.15,0.06,0.003,2.380952380952381
16,9993791.788516322,3608.17625350171,2084.0357495728126,0.0,0.15,0.06,0.003,2.380952380952381
17,9993162.226257376,4512.714399346969,2336.0250257172106,62.08239778808462,0.15,0.06,0.003,2.380952380952381
18,9992475.554636268,4413.824591719181,2610.891058695355,51.53652223609771,0.15,0.06,0.003,2.380952380952381
19,9991726.605305549,4642.936122682533,2910.707614033701,161.18787136712712,0.15,0.06,0.003,2.380952380952381
20,9990909.744504217,6286.537505536007,3237.7358550863846,197.45563070998367,0.15,0.06,0.003,2.380952380952381
21,9990018.831575682,6115.2088846631095,3594.441170906397,374.98774894169185,0.15,0.06,0.003,2.380952380952381
22,9989047.173897991,6797.594717369752,3983.5114823963836,298.09256134371776,0.15,0.06,0.003,2.380952380952381
23,9987987.477886047,6804.975816472907,4407.877173101987,160.35162355555485,0.15,0.06,0.003,2.380952380952381
24,9986831.795756975,7832.599259552849,4870.732777739508,150.03259469429167,0.15,0.06,0.003,2.380952380952381
25,9985571.467737159,8829.2926627541,5375.5605676162995,319.97535787537953,0.15,0.06,0.003,2.380952380952381
26,9984197.0593391,9112.504759580353,5926.156195284994,158.90227970023724,0.15,0.06,0.003,2.380952380952381
27,9982698.29328606,10601.46890037253,6526.656587264648,516.945034217935,0.15,0.06,0.003,2.380952380952381
28,9981063.97569097,11151.167375794344,7181.5702577560805,481.8307615849825,0.15,0.06,0.003,2.380952380952381
29,9979281.916054241,12308.88610837297,7895.810245259123,345.9602534664376,0.15,0.06,0.003,2.380952380952381
30,9977338.839733323,13308.051169860722,8674.730226200783,255.43910386040682,0.05,0.06,0.003,0.7936507936507937
31,9976667.177273856,14129.211337098333,9482.582996195553,615.035733754165,0.05,0.06,0.003,0.7936507936507937
32,9976004.311589062,13196.296636927353,10279.90862999695,502.0745011167203,0.05,0.06,0.003,0.7936507936507937
33,9975350.129065473,12599.642189166685,11066.841698555178,682.1699356166675,0.05,0.06,0.003,0.7936507936507937
34,9974704.51751485,13194.222581328295,11843.515121002582,426.232969245239,0.05,0.06,0.003,0.7936507936507937
35,9974067.366157535,12195.699055240235,12610.060183019648,568.122028049963,0.05,0.06,0.003,0.7936507936507937
36,9973438.565605791,12611.417440014558,13366.606555207352,668.8760747810014,0.05,0.06,0.003,0.7936507936507937
37,9972818.007848052,11566.281467622217,14113.282310578317,710.5537012132014,0.05,0.06,0.003,0.7936507936507937
38,9972205.586232992,11661.674173541405,14850.213942240238,695.6693630634077,0.05,0.06,0.003,0.7936507936507937
39,9971601.195451306,12122.441846194435,15577.526383259037,843.7004916269065,0.05,0.06,0.003,0.7936507936507937
40,9971004.731520373,12185.404641863248,16295.343023778267,703.6527282018366,0.05,0.06,0.003,0.7936507936507937
41,9970416.091768231,11799.608270420082,17003.785728774812,835.3708979104526,0.05,0.06,0.003,0.7936507936507937
42,9969835.174817719,11529.681211966543,17702.97485567672,897.6687164914193,0.05,0.06,0.003,0.7936507936507937
43,9969261.880570777,11303.015710605747,18393.02927182051,973.1925654989952,0.05,0.06,0.003,0.7936507936507937
44,9968696.110193025,10674.981454404455,19074.06637163941,1027.7658546591574,0.05,0.06,0.003,0.7936507936507937
45,9968137.766107218,10836.046865212122,19746.20208496529,870.2610541717363,0.05,0.06,0.003,0.7936507936507937
46,9967586.751971593,10795.932700181376,20409.55090048511,860.8119876911632,0.05,0.06,0.003,0.7936507936507937
47,9967042.97266064,11269.39576488749,21064.22588677638,1186.1876958032985,0.05,0.06,0.003,0.7936507936507937
48,9966506.334254365,10837.518706638162,21710.338704837955,1120.1030846592882,0.05,0.06,0.003,0.7936507936507937
49,9965976.744023923,9841.038083427515,22347.999624277363,1039.4999641908594,0.05,0.06,0.003,0.7936507936507937
50,9965454.11041741,10551.47248774891,22977.317539320688,1310.3046729857128,0.05,0.06,0.003,0.7936507936507937
51,9964938.343045883,10126.769906339607,23598.399984644882,1191.95903472655,0.05,0.06,0.003,0.7936507936507937
52,9964429.352668874,9873.503029756548,24211.353151399282,1333.3050298900257,0.05,0.06,0.003,0.7936507936507937
53,9963927.051175542,10264.548661981677,24816.281905643835,1247.841196765516,0.05,0.06,0.003,0.7936507936507937
54,9963431.351578249,10303.878748806848,25413.289799673126,1485.1403563995925,0.05,0.06,0.003,0.7936507936507937
55,9962942.167997926,10133.869581086976,26002.479087914235,1482.8140561265586,0.05,0.06,0.003,0.7936507936507937
56,9962459.415649924,9286.22633356217,26583.95074249096,1303.2861673705859,0.05,0.06,0.003,0.7936507936507937
57,9961983.01083094,9375.574660607526,27157.804468085833,1459.0081325743581,0.05,0.06,0.003,0.7936507936507937
58,9961512.870906156,9511.468794279504,27724.138716629754,1453.3755420836949,0.05,0.06,0.003,0.7936507936507937
59,9961048.914296526,9650.520390515096,28283.050701819328,1556.5952062987333,0.05,0.06,0.003,0.7936507936507937
60,9960591.060461378,8937.748252781797,28834.636417201524,1341.3057606254106,0.05,0.06,0.003,0.7936507936507937
61,9960139.229877938,8937.344556337199,29378.990656547518,1540.3515124254784,0.05,0.06,0.003,0.7936507936507937
62,9959693.34404756,8444.824022652481,29916.207013797542,1605.967690222827,0.05,0.06,0.003,0.7936507936507937
63,9959253.32547589,8291.623072862985,30446.377902889184,1339.2750737262115,0.05,0.06,0.003,0.7936507936507937
64,9958819.097660083,8993.185442823538,30969.594572147005,1425.3300742350352,0.05,0.06,0.003,0.7936507936507937
65,9958390.585076744,9100.591613034163,31485.947118091717,1362.0607776860338,0.05,0.06,0.003,0.7936507936507937
66,9957967.713170016,8407.708172670946,31995.52449909451,1571.7372476795597,0.05,0.06,0.003,0.7936507936507937
67,9957550.408339823,8734.273598200929,32498.414548878292,1699.6001654983627,0.05,0.06,0.003,0.7936507936507937
68,9957138.597926028,8363.9971483796,32994.703992465125,1806.0955804946534,0.05,0.06,0.003,0.7936507936507937
69,9956732.210198648,7846.794110374452,33484.47845834511,1681.9354639727053,0.05,0.06,0.003,0.7936507936507937
70,9956331.17435064,8149.548552423279,33967.82248901097,1867.8920740705553,0.05,0.06,0.003,0.7936507936507937
71,9955935.42048396,8522.855129362935,34444.819555556925,1578.604557030692,0.05,0.06,0.003,0.7936507936507937
72,9955544.879598401,7779.224547709736,34915.55207050875,1568.495161501909,0.05,0.06,0.003,0.7936507936507937
73,9955159.483580599,8327.564027357526,35380.10140050465,1763.2238482153386,0.05,0.06,0.003,0.7936507936507937
74,9954779.165193148,6525.22145847444,35838.54787882729,1831.899662711987,0.05,0.06,0.003,0.7936507936507937
75,9954403.858063547,7824.792360105387,36290.97081802545,1811.1457790497022,0.05,0.06,0.003,0.7936507936507937
76,9954033.49666858,7427.574046679142,36737.44852561293,1621.6998521309938,0.05,0.06,0.003,0.7936507936507937
77,9953668.016329689,7173.451793024162,37178.05831216338,1849.6275950032114,0.05,0.06,0.003,0.7936507936507937
78,9953307.353202395,7236.434639461867,37612.876503442305,1744.878929837035,0.05,0.06,0.003,0.7936507936507937
79,9952951.444264796,6296.370988385221,38041.97845313219,1971.796239049003,0.05,0.06,0.003,0.7936507936507937
80,9952600.227307409,6921.747837097881,38465.43855457889,1961.4262674757097,0.05,0.06,0.003,0.7936507936507937
81,9952253.640923154,7064.057428943696,38883.33025239488,1846.34691563502,0.05,0.06,0.003,0.7936507936507937
82,9951911.62449747,7428.746497623448,39295.72605391946,1911.3047239995872,0.05,0.06,0.003,0.7936507936507937
83,9951574.118197192,6527.330661108419,39702.697541611575,1874.895417376023,0.05,0.06,0.003,0.7936507936507937
84,9951241.06295685,6320.68790571669,40104.31538745049,1998.6923350740972,0.05,0.06,0.003,0.7936507936507937
85,9950912.400476573,6357.91291422808,40500.64935815444,2124.440539252457,0.05,0.06,0.003,0.7936507936507937
86,9950588.07321009,6847.754976047541,40891.76832816737,1941.9972914660245,0.05,0.06,0.003,0.7936507936507937
87,9950268.024354953,6524.012230755815,41277.74029084478,2116.3465181159268,0.05,0.06,0.003,0.7936507936507937
88,9949952.197843319,6090.847838467178,41658.63236918456,2027.7441495065145,0.05,0.06,0.003,0.7936507936507937
89,9949640.538332839,6431.9099860015485,42034.51082642174,2019.2059446234211,0.05,0.06,0.003,0.7936507936507937
90,9949332.991197677,6180.765540254981,42405.441076487106,2109.132685973176,0.05,0.06,0.003,0.7936507936507937
91,9949029.502515279,6454.267862566907,42771.48769810382,2030.8297688024115,0.05,0.06,0.003,0.7936507936507937
92,9948730.019057829,5695.18946244513,43132.71444480784,2099.0137234404033,0.05,0.06,0.003,0.7936507936507937
93,9948434.488291297,5768.6471082226435,43489.18424843759,2049.788021068937,0.05,0.06,0.003,0.7936507936507937
94,9948142.858362539,5664.710794068589,43840.95923285665,2396.530091680936,0.05,0.06,0.003,0.7936507936507937
95,9947855.078090817,5152.379062120182,44188.10072384634,2213.075150703149,0.05,0.06,0.003,0.7936507936507937
96,9947571.096959475,5792.097139619035,44530.66925884516,2153.7083334018107,0.05,0.06,0.003,0.7936507936507937
97,9947290.865107734,5703.114128820646,44868.72459655637,2265.706555177376,0.05,0.06,0.003,0.7936507936507937
98,9947014.333322601,5525.30369797472,45202.325726423696,2248.425552345857,0.05,0.06,0.003,0.7936507936507937
99,9946741.453030918,5355.060921470573,45531.53087797517,2253.578754727662,0.05,0.06,0.003,0.7936507936507937
100,9946472.176291276,4803.143725045143,45856.397530249276,2356.740326716658,0.05,0.06,0.003,0.7936507936507937
101,9946206.455771225,5136.6863584489065,46176.98243429059,2387.6880328048433,0.05,0.06,0.003,0.7936507936507937
102,9945944.244753579,5098.40541188724,46493.3416097297,2269.454265811617,0.05,0.06,0.003,0.7936507936507937
103,9945685.497134874,4842.505460734038,46805.53034831774,2280.3472487416757,0.05,0.06,0.003,0.7936507936507937
104,9945430.167411072,5034.973524062472,47113.60322879587,2327.0536854194984,0.05,0.06,0.003,0.7936507936507937
105,9945178.210670082,5197.5738209339115,47417.61412567495,2131.3043222601304,0.05,0.06,0.003,0.7936507936507937
106,9944929.582584376,5733.807370577302,47717.61621789342,2228.1847084618853,0.05,0.06,0.003,0.7936507936507937
107,9944684.239403736,4972.395486868838,48013.66199735373,2542.9428781026772,0.05,0.06,0.003,0.7936507936507937
108,9944442.137948103,4941.483656103104,48305.80327733699,2586.492993344271,0.05,0.06,0.003,0.7936507936507937
109,9944203.235600535,4742.700358198684,48594.09120079602,2403.785708098973,0.05,0.06,0.003,0.7936507936507937
110,9943967.4902989,3929.8690917537947,48878.57624984426,2503.9349649656137,0.05,0.06,0.003,0.7936507936507937
111,9943734.860514615,4637.085771543749,49159.30826761158,2490.3593057931375,0.05,0.06,0.003,0.7936507936507937
112,9943505.305266054,4611.029911955045,49436.33644693686,2792.2566107419293,0.05,0.06,0.003,0.7936507936507937
113,9943278.78410901,5527.5280460968015,49709.70934099989,2602.0071416557644,0.05,0.06,0.003,0.7936507936507937
114,9943055.257126631,4388.083979155826,49979.47487440981,2485.6605015082014,0.05,0.06,0.003,0.7936507936507937
115,9942834.68492283,4529.954070086792,50245.68035098739,2412.8345111743224,0.05,0.06,0.003,0.7936507936507937
116,9942617.028615763,4335.067160425112,50508.37246143555,2358.224973510159,0.05,0.06,0.003,0.7936507936507937
117,9942402.24983145,3816.6109547608817,50767.597290897946,2559.555690593335,0.05,0.06,0.003,0.7936507936507937
118,9942190.310697442,4699.7687807267785,51023.4003264057,2472.4515183175895,0.05,0.06,0.003,0.7936507936507937
119,9941981.173836641,4484.929914326819,51275.82646421232,2415.767834774328,0.05,0.06,0.003,0.7936507936507937
120,9941774.802357629,4445.650027296303,51524.92002054517,2508.9528217527427,0.05,0.06,0.003,0.7936507936507937
121,9941571.159837367,3699.8396909792655,51770.724749930254,2475.97227838998,0.05,0.06,0.003,0.7936507936507937
122,9941370.210337419,4586.190882242593,52013.28383023872,2776.256344040439,0.05,0.06,0.003,0.7936507936507937
123,9941171.918390278,3392.8440036326624,52252.63987738956,2704.3901601427533,0.05,0.06,0.003,0.7936507936507937
124,9940976.248992052,4149.079136671696,52488.83495371698,2623.611981398998,0.05,0.06,0.003,0.7936507936507937
125,9940783.167596648,4749.423513320905,52721.9105748585,2790.1232473218033,0.05,0.06,0.003,0.7936507936507937
126,9940592.64011003,3405.123730277129,52951.90771654125,2655.6476248300646,0.05,0.06,0.003,0.7936507936507937
127,9940404.632884575,3527.311165824602,53178.86682126623,2569.3037140718156,0.05,0.06,0.003,0.7936507936507937
128,9940219.112713516,3748.4344236689617,53402.827804890585,2828.6631347952084,0.05,0.06,0.003,0.7936507936507937
129,9940036.046825482,3454.2280710622827,53623.83006310799,2737.2794880778283,0.05,0.06,0.003,0.7936507936507937
130,9939855.402872745,2980.1190312043964,53841.912484384135,2584.142455881952,0.05,0.06,0.003,0.7936507936507937
131,9939677.148921985,3590.7583342438384,54057.11346030247,2683.0458494062864,0.05,0.06,0.003,0.7936507936507937
132,9939501.253466506,3083.8898159621854,54269.470873827064,2622.3420757051645,0.05,0.06,0.003,0.7936507936507937
133,9939327.685412427,3661.894959624869,54479.02211433058,2580.0338576159784,0.05,0.06,0.003,0.7936507936507937
134,9939156.414073223,3049.6713924397313,54685.80408403522,2830.683717238231,0.05,0.06,0.003,0.7936507936507937
135,9938987.40916458,4008.418550560039,54889.85320409736,2943.218464253588,0.05,0.06,0.003,0.7936507936507937
136,9938820.640799347,3015.1377542169557,55091.20542059982,2609.001957704063,0.05,0.06,0.003,0.7936507936507937
137,9938656.07948258,3158.585465642343,55289.89621045155,2823.0867971246416,0.05,0.06,0.003,0.7936507936507937
138,9938493.696106637,3576.8057626352506,55485.96058719479,2706.581290667797,0.05,0.06,0.003,0.7936507936507937
139,9938333.461946368,2702.687485852907,55679.433106738485,2733.2732475043267,0.05,0.06,0.003,0.7936507936507937
140,9938175.34864454,3253.2669214110088,55870.347883390095,2731.8629828626717,0.05,0.06,0.003,0.7936507936507937
141,9938019.328213245,3650.4554227469,56058.73858898398,2713.0156117253214,0.05,0.06,0.003,0.7936507936507937
142,9937865.373037722,2424.1847614063454,56244.638449455575,2817.281893926327,0.05,0.06,0.003,0.7936507936507937
143,9937713.45586551,3112.1284477121953,56428.0802569201,2734.921457646745,0.05,0.06,0.003,0.7936507936507937
