day,S,I,R,D,beta,gamma,mu,R0
0,9999000.0,1000.0,0.0,0.0,0.1,0.06,0.003,1.5873015873015874
1,9998896.473733677,1039.3126701915364,61.15580583388486,3.057790291694237,0.10313952597646568,0.06,0.003,1.6371353329597726
2,9998785.382796066,1083.560209876512,124.81618481368494,6.2408092406842375,0.10626666167821522,0.06,0.003,1.6867724075907178
3,9998665.929204082,1133.2150975627449,191.29114128779057,9.564557064389518,0.10936906572928624,0.06,0.003,1.736016916337877
4,9998537.22821737,1188.8050906355911,260.9206590380948,13.046032951904726,0.11243449435824274,0.06,0.003,1.7846745136229005
5,9998398.298876254,1250.9190161249778,334.0781977325515,16.703909886627564,0.11545084971874738,0.06,0.003,1.832553170138847
6,9998248.053898089,1320.2128826337862,411.17449454824066,20.55872472741202,0.1184062276342339,0.06,0.003,1.8794639307021255
7,9998085.288542172,1397.4164839596383,492.661879873007,24.633093993650338,0.12128896457825365,0.06,0.003,1.9252216599722802
8,9997908.669114888,1483.3401277294777,579.0388165521712,28.951940827608546,0.12408768370508577,0.06,0.003,1.9696457730965995
9,9997716.720506946,1578.8817520162404,670.8549914637263,33.54274957318631,0.12679133974894982,0.06,0.003,2.012560948396029
10,9997507.813259583,1685.0341276863323,768.7167740292138,38.43583870146068,0.12938926261462366,0.06,0.003,2.053797819279741
11,9997280.150114125,1802.8921034788139,873.293126091448,43.6646563045724,0.1318711994874345,0.06,0.003,2.0931936426576905
12,9997031.7522541,1933.6597073947248,985.3219414330409,49.26609707165205,0.13422735529643445,0.06,0.003,2.130592941213245
13,9996760.44546687,2078.6568927462577,1105.6168003655862,55.2808400182793,0.1364484313710706,0.06,0.003,2.165848117001121
14,9996463.846492726,2239.325686554763,1235.0741149712585,61.75370574856292,0.13852566213878945,0.06,0.003,2.1988200339490387
15,9996139.34999208,2417.2353649686547,1374.6806123370234,68.73403061685117,0.14045084971874738,0.06,0.003,2.229378566964244
16,9995784.116481584,2614.0863683391003,1525.5210953132134,76.27605476566066,0.14221639627510077,0.06,0.003,2.25740311547779
17,9995395.061850758,2831.712442592509,1688.7863872873727,84.43931936436863,0.14381533400219318,0.06,0.003,2.282783079399892
18,9994968.849060403,3072.0805328835854,1865.78133972927,93.28906698646351,0.14524135262330098,0.06,0.003,2.3054182956079523
19,9994501.88275114,3337.2878604275015,2057.9327508887823,102.89663754443912,0.14648882429441257,0.06,0.003,2.325219433244644
20,9993990.307566172,3629.5555711319817,2266.7970120941764,113.33985060470883,0.14755282581475768,0.06,0.003,2.342108346265995
21,9993430.011094073,3951.2182921022504,2494.0672512631445,124.70336256315721,0.14842915805643156,0.06,0.003,2.35601838184812
22,9992816.632391302,4304.70891496237,2741.579708321108,137.0789854160554,0.14911436253643445,0.06,0.003,2.3668946434354674
23,9992145.577077929,4692.537925217377,3011.3190446237436,150.5659522311872,0.1496057350657239,0.06,0.003,2.3746942073924426
24,9991412.040035633,5117.266624930424,3305.4222280348163,165.27111140174085,0.1499013364214136,0.06,0.003,2.37938629240339
25,9990611.036726989,5581.473632547704,3626.180609965911,181.30903049829556,0.15000000000000002,0.06,0.003,2.3809523809523814
26,9989737.443978187,6087.714258286636,3976.039774786236,198.80198873931184,0.1499013364214136,0.06,0.003,2.37938629240339
27,9988786.051025247,6638.4723916340845,4357.596745826551,217.87983729132762,0.14960573506572392,0.06,0.003,2.374694207392443
28,9987751.621441744,7236.104788848351,4773.594066100437,238.6797033050219,0.14911436253643445,0.06,0.003,2.3668946434354674
29,9986628.966088198,7882.778088560986,5226.910307846656,261.3455153923328,0.14842915805643156,0.06,0.003,2.35601838184812
30,9985413.027088074,8580.398969414608,5720.546611915034,286.0273305957517,0.14755282581475768,0.06,0.003,2.342108346265995
31,9984098.972391728,9330.53832923594,6257.608837175624,312.88044185878124,0.14648882429441257,0.06,0.003,2.325219433244644
32,9982682.29971347,10134.351015986276,6841.285019565614,342.06425097828077,0.14524135262330098,0.06,0.003,2.3054182956079523
33,9981158.948299892,10992.492857453355,7474.817945385539,373.740897269277,0.14381533400219318,0.06,0.003,2.282783079399892
34,9979525.416656327,11905.037028566754,8161.472681053765,408.07363405268836,0.14221639627510074,0.06,0.003,2.2574031154777896
35,9977778.883128153,12871.392769858187,8904.499144751668,445.22495723758345,0.14045084971874738,0.06,0.003,2.229378566964244
