day,S,I,R,D,beta,gamma,mu,R0
0,9999000.0,1000.0,0.0,0.0,0.1,0.06,0.003,1.5873015873015874
1,9998896.749773966,1037.9634900360093,62.230283048725596,3.056452949263684,0.10268917926710303,0.062142682737583645,0.003,1.5763732003603403
2,9998786.716135766,1077.9769117022317,129.07712378313542,6.229828747380308,0.1053567068439591,0.06421649788897611,0.003,1.567423328391499
3,9998669.497112894,1120.2437111722127,200.73261050636088,9.526565426233494,0.10798110536700026,0.06615479132887087,0.003,1.5614406940147922
4,9998544.67599893,1165.0389131314637,277.3312711376489,12.95381679984333,0.1105412447224403,0.06789526471127655,0.003,1.5592190137468755
5,9998411.814329652,1212.7158870531282,358.9501054485086,16.51967784442916,0.11301651217352676,0.06938197778961636,0.003,1.5613902192893612
6,9998270.443644417,1263.7118337222494,445.6110937177434,20.233428139033236,0.1153869783221772,0.07056714638228086,0.003,1.568457986974046
7,9998120.056234786,1318.5519234228475,537.286051842665,24.105789945789144,0.1176335575687742,0.07141267819554184,0.003,1.5808268217366992
8,9997960.095204873,1377.852094627191,633.9035038418422,28.149196654591094,0.11973816177819137,0.0718913971412152,0.003,1.5988239817774144
9,9997789.944212675,1442.3205097827147,735.3572098724627,32.37806766631102,0.12168384591482176,0.07198791679849578,0.003,1.6227127130602281
10,9997608.917355293,1512.757604222653,841.5159551010787,36.809085378932416,0.12345494447404089,0.07169913494618188,0.003,1.6526957716844495
11,9997416.24965789,1590.0545389103968,952.2343329768519,41.46147021963876,0.1250371976116391,0.07103433327061741,0.003,1.688908268473103
12,9997211.088758945,1675.1896867111689,1067.3643062439323,46.357248095186435,0.12641786595570215,0.07001487904465563,0.003,1.7313986903735805
13,9996992.488415867,1769.2225482791152,1186.7675322255143,51.52150362491331,0.1275858331765435,0.0686735383659287,0.003,1.7800967565624433
14,9996759.404547425,1873.284231719377,1310.328610619547,56.98261023237398,0.1285316954888546,0.06705342302750968,0.003,1.8347668098728132
15,9996510.694628576,1988.5633626879837,1437.9695836289568,62.77242510325632,0.12924783736545473,0.0652066048694107,0.003,1.894946062964348
16,9996245.121346712,2116.2860694339442,1569.6661503807607,68.92643347073114,0.12972849285303806,0.0631924421468001,0.003,1.9598686594056938
17,9995961.361523729,2257.68851078766,1705.4661434556667,75.48382202598883,0.12996979199623945,0.061075671706841195,0.003,2.0283797037801934
18,9995658.021373395,2413.980379797459,1845.5107903608007,82.48745644542116,0.12996979199623945,0.058924328293158794,0.003,2.0988486363702408
19,9995333.659127086,2586.2980667200964,1990.0590716419026,89.98373455156006,0.12972849285303806,0.056807557853199894,0.003,2.1690986475565843
20,9994986.8159663,2775.646533576534,2139.5152177747195,98.02228234706295,0.12924783736545473,0.0547933951305893,0.003,2.236377307015928
21,9994616.055985993,2982.8297560327333,2294.45880003038,106.65545794380763,0.12853169548885462,0.05294657697249032,0.003,2.297400528222761
22,9994220.015417997,3208.370772480667,2455.676178409643,115.93763111257923,0.12758583317654354,0.051326461634071306,0.003,2.3485025407310345
23,9993797.460754234,3452.4239373699425,2624.1910980649473,125.92421032963706,0.12641786595570215,0.04998512095534437,0.003,2.385912567081739
24,9993347.354538254,3714.683836966068,2801.291224612402,136.6704001667452,0.1250371976116391,0.048965666729382594,0.003,2.406150165700465
25,9992868.926557628,3994.2973749981315,2988.5463790456556,148.2296883290453,0.12345494447404089,0.048300865053818115,0.003,2.4064885522793467
26,9992361.747026898,4289.787477455527,3187.8134115053153,160.65208414194473,0.12168384591482176,0.04801208320150422,0.003,2.385392602653671
27,9991825.797231464,4598.998317920997,3401.2222928026426,173.9821578132354,0.1197381617781914,0.04810860285878478,0.003,2.3428181378589623
28,9991261.53213757,4919.072632508544,3631.1382692113098,188.25696070921484,0.11763355756877421,0.048587321804458156,0.003,2.2802803761487063
29,9990669.928889344,5246.471020237489,3880.0961520182286,203.5039384013992,0.1153869783221772,0.04943285361771914,0.003,2.2006618057343985
30,9990052.51512022,5577.040863924802,4150.705041275079,219.73897458258486,0.11301651217352676,0.05061802221038364,0.003,2.1078082986738744
31,9989411.371709032,5906.138622371201,4445.524947018239,236.96472158042224,0.1105412447224403,0.05210473528872344,0.003,2.0060207919202417
32,9988749.10612827,6228.803861093977,4766.920634313136,255.16937632661916,0.10798110536700026,0.053845208671129116,0.003,1.8995638839451097
33,9988068.794688914,6539.977360388616,5116.901903660933,274.3260470388426,0.1053567068439591,0.05578350211102388,0.003,1.7922836010173877
34,9987373.894702422,6834.74941485539,5496.96305856201,294.3928241636989,0.10268917926710303,0.05785731726241635,0.003,1.6873760442693844
35,9986668.1305543,7108.619244010244,5907.936583701041,315.3136179914719,0.1,0.06,0.003,1.5873015873015874
36,9985955.36032582,7357.74353670346,6349.876373706388,337.01976377253584,0.097310820732897,0.06214268273758363,0.003,1.4938104579588367
37,9985239.431727448,7579.151685411375,6821.984259013152,359.43232812906064,0.09464329315604092,0.06421649788897611,0.003,1.40803665957674
38,9984524.03687301,7770.909472097253,7322.588669293199,382.4649856011682,0.09201889463299975,0.06615479132887087,0.003,1.3306221140252872
39,9983812.576286105,7932.214205936965,7849.1822145952065,406.0272933640456,0.08945875527755973,0.06789526471127655,0.003,1.2618438712639504
40,9983108.040186975,8063.418795708166,8398.512883351103,430.0281339670277,0.08698348782647326,0.06938197778961636,0.003,1.2017285308132541
41,9982412.913965298,8165.98225371879,8966.724649050642,454.37913193397344,0.08461302167782284,0.07056714638228084,0.003,1.1501468500374301
42,9981729.1118178,8242.358008541943,9549.53236134199,478.9978123179114,0.08236644243122582,0.07141267819554184,0.003,1.1068872190674692
43,9981057.939246612,8295.833069178072,10142.417326238416,503.8103579748083,0.08026183822180863,0.0718913971412152,0.003,1.0717097194817573
44,9980400.083275683,8330.336327961408,10740.826571812186,528.7538245452014,0.07831615408517828,0.07198791679849578,0.003,1.044383647776561
45,9979755.626276808,8350.234357546524,11340.361602829544,553.7777628187251,0.07654505552595912,0.0716991349461819,0.003,1.0247114050397925
46,9979124.078532021,8360.131562369508,11936.944677597867,578.8452280144079,0.07496280238836094,0.07103433327061741,0.003,1.0125410613795858
47,9978504.42362286,8364.688261020887,12526.954901195517,603.9332149286241,0.07358213404429786,0.07001487904465563,0.003,1.0077690329295115
48,9977895.170982843,8368.465973599807,13107.330457679502,629.0325858816359,0.07241416682345649,0.0686735383659287,0.003,1.0103333597644715
49,9977294.41049205,8375.804756715213,13675.637169540172,654.1475816990055,0.0714683045111454,0.06705342302750968,0.003,1.020197178417393
50,9976699.864901492,8390.733394527324,14230.106688097163,679.2950158875074,0.0707521626345453,0.0652066048694107,0.003,1.037321279515501
51,9976108.937277125,8416.91007449811,14769.649405319899,704.5032430614589,0.07027150714696195,0.0631924421468001,0.003,1.061624331537963
52,9975518.751404688,8457.589178280175,15293.848424732209,729.8109923037734,0.07003020800376057,0.06107567170684121,0.003,1.0929297522492238
53,9974926.184569882,8515.608500434875,15802.940797688287,755.2661319969732,0.07003020800376057,0.0589243282931588,0.003,1.1308997599816886
54,9974327.892802697,8593.391214469026,16297.79156274775,780.924420089353,0.07027150714696195,0.0568075578531999,0.003,1.1749603172135241
55,9973720.32945939,8692.95736959311,16779.864895354985,806.8482756660356,0.0707521626345453,0.054793395130589305,0.003,1.2242257523489406
56,9973099.758497091,8815.940714491417,17251.195194522854,833.1055938992994,0.07146830451114539,0.05294657697249032,0.003,1.2774383774415243
57,9972462.26410155,8963.607941048687,17714.359341764564,859.7686156413896,0.07241416682345649,0.051326461634071306,0.003,1.332944658005139
58,9971803.758454839,9136.878840045172,18172.449848777138,886.9128563442127,0.07358213404429785,0.04998512095534437,0.003,1.3887320198119875
59,9971119.989378298,9336.347206300445,18629.04731856507,914.6160968433518,0.07496280238836092,0.048965666729382594,0.003,1.4425448013346707
60,9970406.549473565,9562.303565549555,19088.189522836306,942.957438054968,0.07654505552595911,0.04830086505381812,0.003,1.4920811850961597
61,9969658.88792539,9814.761668382436,19554.333976591573,972.016429640597,0.07831615408517825,0.04801208320150422,0.003,1.5352471251922701
62,9968872.325771704,10093.491527650347,20032.310412952647,1001.8722876965043,0.08026183822180862,0.04810860285878478,0.003,1.5704173804863233
63,9968042.074837105,10398.06146598765,20527.260472324477,1032.6032245876156,0.0823664424312258,0.04858732180445815,0.003,1.5966411814018175
64,9967163.259992933,10727.892357770143,21044.561728696488,1064.2859206065268,0.08461302167782281,0.04943285361771914,0.003,1.6137405431854792
65,9966230.943429548,11082.325869904967,21589.735519251823,1096.9951813002165,0.08698348782647325,0.05061802221038364,0.003,1.6222807974000217
66,9965240.149110887,11460.707425375886,22168.339643559302,1130.8038201820732,0.08945875527755971,0.05210473528872344,0.003,1.6234313586452602
