dataset,description,S_MSE,I_MSE,R_MSE,D_MSE,S_RMSE,I_RMSE,R_RMSE,D_RMSE,S_MAE,I_MAE,R_MAE,D_MAE,beta_pred,gamma_pred,mu_pred,beta_true,beta_rel_error,beta_rel_error_percent,gamma_true,gamma_rel_error,gamma_rel_error_percent,mu_true,mu_rel_error,mu_rel_error_percent
01_baseline_constant,Базовый (константы),159993.7055557589,1346.1286599683017,136231.72055024563,226.65028388323373,399.99213186731424,36.689626053808475,369.09581486417,15.05490896296732,322.5243223907576,25.5348990960123,289.4043246393687,11.547693934260156,0.08777133721464103,0.07138028493542237,0.012186944530590382,0.1,0.12228662785358974,12.228662785358974,0.06,0.18967141559037282,18.96714155903728,0.003,3.0623148435301277,306.2314843530128
02_lockdown_beta_jump,Локдаун (скачок β),2508.061147611721,6.549718211256533,1237.687915552119,38.79433437361689,50.08054659857179,2.5592417258353173,35.18078901264324,6.228509803606068,42.715307551929875,2.0449395939499344,29.291051980854355,5.330975039781018,0.08030933932682044,0.0661099326006222,0.008010124315615041,,,,,,,,,
03_seasonal_beta_sin,Сезонность (плавная β),59035.963826122344,1326.0826293573155,64642.63085134371,91.43298509896076,242.97317511635384,36.41541746784342,254.24915113200223,9.562059668238886,196.750922251809,19.747883063738552,198.5361631277418,8.150107029943467,0.11546115897870668,0.08117524598011089,0.014380122811948781,,,,,,,,,
04_decaying_beta_trend,Затухание (β 0.15→0.1),61794.11401458488,1725.6642217155625,78553.6179189752,299.05942467663937,248.5842191583868,41.54111483477017,280.2741834685728,17.293334689314243,223.49787320044072,20.570819786136532,244.66388521947994,15.604382127707737,0.1381610368228387,0.08171759948881319,0.012646087604101075,,,,,,,,,
05_complex_beta_gamma_dynamics,Сложный (β+γ),144065.66652832073,1285.2116022829289,125156.15373149801,167.86618026907897,379.55983260656114,35.84984800920262,353.7741563928858,12.95631816022897,308.84319479928575,24.31997515003857,280.0115234678641,10.07645450148918,0.08938322855730502,0.07282115717037002,0.01079254727449458,,,,,,,,,
02_lockdown_beta_jump_noise_3pct_seed42,Локдаун + шум 3%,2022.1597604915041,4.680672005930659,948.4953664327838,30.225498915892384,44.968430709682366,2.1634860771289146,30.797651962978993,5.497772177518125,38.537251158113705,1.7016365813402243,25.76744106823541,4.710118275580266,0.08101298963686165,0.06705918147925755,0.00790582865056999,,,,,,,,,
02_lockdown_beta_jump_noise_5pct_seed123,Локдаун + шум 5%,3125.0055962973274,8.845660019081711,1649.686418395613,43.99751415580284,55.90174949227732,2.974165432366147,40.61633191704555,6.6330622005076085,47.737197389881466,2.350908370185129,33.962683853763345,5.6571520413894305,0.08060009776951033,0.0663282534781946,0.00783516052617017,,,,,,,,,
02_lockdown_beta_jump_noise_10pct_seed456,Локдаун + шум 10%,2705.890299852643,8.039805680791261,1330.7588925268947,56.4727800572453,52.018172784639816,2.835455109994031,36.479568151595416,7.514837327397401,44.4046724223204,2.1886743562365893,30.42638527070598,6.459768197159994,0.07952648922425476,0.06492353722096117,0.008593076469502026,,,,,,,,,
05_complex_beta_gamma_dynamics_noise_3pct_seed42,Сложный + шум 3%,154883.12638559612,1368.9057506317592,132507.0823889234,244.8672175630899,393.551936071462,36.998726337966815,364.0152227433949,15.648233688282199,320.4865712253868,25.48197472770636,288.350471375367,12.328582405080564,0.09608704402479568,0.08266858327508053,0.009522303052012626,,,,,,,,,
05_complex_beta_gamma_dynamics_noise_5pct_seed123,Сложный + шум 5%,126546.67330196642,1183.4950324381534,110709.6243027221,105.90404121452158,355.73399233411254,34.401962624800255,332.7305581138019,10.29096891524416,288.3186484748775,23.516200938212435,261.97448862670933,8.061214016434107,0.07870503595557943,0.06385370933426238,0.009153825300407814,,,,,,,,,
05_complex_beta_gamma_dynamics_noise_10pct_seed456,Сложный + шум 10%,153910.66601392577,1331.855677162229,137414.41245863086,38.22004880317606,392.3144988576458,36.494597917530605,370.6945001731626,6.182236553479337,319.58507013234794,25.84147543477896,294.54928864039164,5.1840356857324155,0.059328351558579184,0.04166535484382716,0.018671565266024037,,,,,,,,,
