t,S,I,R,D,beta,gamma,mu,R0
0.0,5765771.0,-17.277832,53127.047,3268.3525,0.021959566,0.030078819,0.00015702375,0.726276
1.0,5765771.5,-17.13623,53126.49,3268.3328,0.021943673,0.03007873,0.00015690175,0.72575545
2.0,5765771.5,-16.9917,53125.926,3268.3127,0.021927834,0.030078642,0.0001567805,0.72523654
3.0,5765772.0,-16.853516,53125.38,3268.2935,0.021912042,0.030078555,0.00015665988,0.7247193
4.0,5765772.0,-16.714844,53124.832,3268.2732,0.021896303,0.030078467,0.00015653999,0.72420365
5.0,5765772.5,-16.578613,53124.31,3268.2534,0.021880608,0.030078381,0.00015642078,0.72368944
6.0,5765773.0,-16.44336,53123.785,3268.234,0.021864954,0.030078296,0.00015630224,0.72317666
7.0,5765773.0,-16.308594,53123.246,3268.2144,0.021849357,0.030078212,0.00015618435,0.72266555
8.0,5765773.5,-16.172852,53122.75,3268.1948,0.021833811,0.030078128,0.00015606717,0.72215617
9.0,5765773.5,-16.040527,53122.23,3268.1753,0.02181832,0.030078044,0.00015595069,0.7216486
10.0,5765774.0,-15.913086,53121.734,3268.1558,0.02180286,0.030077962,0.00015583487,0.72114193
11.0,5765774.0,-15.777344,53121.246,3268.1362,0.021787465,0.03007788,0.00015571972,0.7206375
12.0,5765774.5,-15.647461,53120.758,3268.117,0.021772122,0.030077798,0.00015560523,0.7201347
13.0,5765775.0,-15.519043,53120.277,3268.0977,0.02175682,0.030077718,0.00015549139,0.71963316
14.0,5765775.0,-15.390625,53119.793,3268.0781,0.021741573,0.030077638,0.00015537828,0.71913344
15.0,5765775.5,-15.265137,53119.336,3268.059,0.021726377,0.03007756,0.00015526579,0.7186353
16.0,5765775.5,-15.133789,53118.883,3268.0403,0.02171123,0.030077482,0.00015515403,0.7181388
17.0,5765776.0,-15.009277,53118.41,3268.021,0.021696135,0.030077403,0.0001550429,0.71764404
18.0,5765776.0,-14.885742,53117.977,3268.0017,0.021681085,0.030077327,0.00015493236,0.7171507
19.0,5765776.5,-14.758789,53117.52,3267.9832,0.021666098,0.03007725,0.00015482256,0.71665937
20.0,5765776.5,-14.643066,53117.074,3267.9639,0.021651156,0.030077176,0.00015471339,0.7161695
21.0,5765777.0,-14.51123,53116.64,3267.9453,0.021636266,0.030077102,0.00015460487,0.71568125
22.0,5765777.5,-14.391113,53116.223,3267.9265,0.021621425,0.030077027,0.00015449701,0.71519464
23.0,5765777.5,-14.273926,53115.797,3267.9077,0.02160664,0.030076955,0.0001543898,0.71470994
24.0,5765778.0,-14.151855,53115.387,3267.8896,0.021591902,0.030076882,0.00015428323,0.7142266
25.0,5765778.0,-14.032227,53114.977,3267.871,0.021577224,0.030076811,0.00015417735,0.71374524
26.0,5765778.5,-13.916016,53114.57,3267.8523,0.021562595,0.03007674,0.00015407207,0.7132655
27.0,5765778.5,-13.797363,53114.164,3267.8342,0.021548016,0.03007667,0.00015396748,0.71278733
28.0,5765779.0,-13.682617,53113.773,3267.8162,0.021533493,0.0300766,0.0001538635,0.712311
29.0,5765779.0,-13.5625,53113.383,3267.7974,0.021519018,0.030076532,0.00015376022,0.7118363
30.0,5765779.5,-13.449707,53113.0,3267.7795,0.021504601,0.030076463,0.0001536575,0.71136343
31.0,5765780.0,-13.3359375,53112.617,3267.7622,0.02149024,0.030076396,0.00015355543,0.7108924
32.0,5765780.0,-13.220703,53112.242,3267.7437,0.021475933,0.030076329,0.00015345405,0.710423
33.0,5765780.5,-13.108887,53111.867,3267.726,0.021461673,0.030076263,0.00015335326,0.70995516
34.0,5765780.5,-13.001953,53111.5,3267.7083,0.021447469,0.030076198,0.00015325312,0.70948917
35.0,5765781.0,-12.887695,53111.145,3267.6907,0.021433324,0.030076133,0.00015315363,0.7090251
36.0,5765781.0,-12.776855,53110.785,3267.6736,0.02141922,0.03007607,0.00015305472,0.7085623
37.0,5765781.5,-12.661621,53110.434,3267.6558,0.02140518,0.030076006,0.00015295648,0.70810175
38.0,5765781.5,-12.555176,53110.082,3267.6392,0.021391189,0.030075945,0.00015285882,0.7076426
39.0,5765782.0,-12.449219,53109.734,3267.6213,0.021377258,0.030075883,0.00015276184,0.70718545
40.0,5765782.0,-12.338379,53109.395,3267.6045,0.021363381,0.030075822,0.00015266548,0.70673007
41.0,5765782.5,-12.23584,53109.06,3267.5876,0.02134956,0.030075762,0.0001525697,0.7062765
42.0,5765783.0,-12.125,53108.727,3267.571,0.021335788,0.030075703,0.00015247459,0.7058245
43.0,5765783.0,-12.019043,53108.4,3267.5542,0.021322077,0.030075643,0.00015238006,0.70537454
44.0,5765783.5,-11.915039,53108.08,3267.5376,0.021308415,0.030075585,0.00015228616,0.7049261
45.0,5765783.5,-11.810059,53107.76,3267.521,0.021294808,0.03007553,0.00015219285,0.7044794
46.0,5765784.0,-11.709473,53107.445,3267.5044,0.021281268,0.030075472,0.0001521002,0.704035
47.0,5765784.0,-11.603516,53107.133,3267.4885,0.02126778,0.030075416,0.00015200816,0.7035922
48.0,5765784.5,-11.505371,53106.832,3267.472,0.021254335,0.030075362,0.0001519167,0.70315075
49.0,5765784.5,-11.403809,53106.523,3267.4563,0.02124096,0.030075308,0.00015182585,0.7027117
50.0,5765785.0,-11.299316,53106.22,3267.4402,0.021227635,0.030075254,0.00015173563,0.70227426
51.0,5765785.0,-11.198242,53105.93,3267.4243,0.021214366,0.0300752,0.000151646,0.70183855
52.0,5765785.5,-11.09668,53105.637,3267.4087,0.021201156,0.030075148,0.000151557,0.7014048
53.0,5765785.5,-10.997559,53105.33,3267.393,0.021187996,0.030075097,0.00015146854,0.7009727
54.0,5765786.0,-10.900391,53105.06,3267.3777,0.021174895,0.030075047,0.00015138075,0.7005424
55.0,5765786.0,-10.8046875,53104.766,3267.3623,0.021161856,0.030074997,0.00015129351,0.70011425
56.0,5765786.5,-10.702148,53104.49,3267.3472,0.02114887,0.030074947,0.0001512069,0.6996877
57.0,5765786.5,-10.606445,53104.21,3267.3323,0.02113594,0.030074898,0.00015112087,0.6992631
58.0,5765787.0,-10.509766,53103.934,3267.317,0.021123074,0.030074852,0.00015103548,0.6988405
59.0,5765787.0,-10.418457,53103.66,3267.3025,0.021110255,0.030074803,0.00015095063,0.69841945
60.0,5765787.0,-10.321777,53103.4,3267.2878,0.0210975,0.030074758,0.00015086637,0.69800043
61.0,5765787.5,-10.224609,53103.13,3267.2732,0.021084804,0.030074712,0.00015078275,0.69758344
62.0,5765787.5,-10.130371,53102.867,3267.259,0.02107216,0.030074667,0.00015069966,0.69716805
63.0,5765788.0,-10.039551,53102.613,3267.2446,0.021059578,0.030074622,0.00015061718,0.6967547
64.0,5765788.0,-9.94873,53102.348,3267.2302,0.021047048,0.03007458,0.0001505353,0.69634306
65.0,5765788.5,-9.855469,53102.094,3267.2166,0.021034583,0.030074537,0.00015045398,0.6959335
66.0,5765788.5,-9.762207,53101.844,3267.2026,0.021022175,0.030074496,0.0001503733,0.69552577
67.0,5765789.0,-9.669434,53101.6,3267.1887,0.021009821,0.030074453,0.00015029316,0.69511986
68.0,5765789.0,-9.575195,53101.35,3267.1748,0.020997522,0.030074414,0.00015021357,0.6947157
69.0,5765789.0,-9.490723,53101.1,3267.1616,0.020985294,0.030074373,0.00015013455,0.6943138
70.0,5765789.5,-9.3984375,53100.863,3267.1484,0.02097311,0.030074334,0.0001500562,0.69391346
71.0,5765789.5,-9.309082,53100.62,3267.135,0.020960998,0.030074297,0.00014997834,0.6935153
72.0,5765790.0,-9.223633,53100.4,3267.1223,0.020948939,0.03007426,0.00014990108,0.69311893
73.0,5765790.0,-9.134766,53100.156,3267.109,0.020936936,0.030074222,0.0001498244,0.69272447
74.0,5765790.5,-9.04541,53099.92,3267.0964,0.020924997,0.030074185,0.0001497483,0.69233197
75.0,5765790.5,-8.958496,53099.695,3267.0835,0.02091311,0.03007415,0.00014967272,0.69194126
76.0,5765790.5,-8.873047,53099.477,3267.0713,0.020901289,0.030074116,0.00014959778,0.69155264
77.0,5765791.0,-8.785645,53099.25,3267.059,0.020889532,0.030074082,0.00014952334,0.6911661
78.0,5765791.0,-8.70166,53099.02,3267.0466,0.020877827,0.030074049,0.00014944951,0.6907813
79.0,5765791.5,-8.616211,53098.81,3267.035,0.020866178,0.030074015,0.00014937625,0.6903983
80.0,5765791.5,-8.529785,53098.58,3267.023,0.020854594,0.030073984,0.00014930351,0.6900174
81.0,5765791.5,-8.446777,53098.38,3267.0112,0.020843066,0.030073954,0.00014923137,0.6896383
82.0,5765792.0,-8.364258,53098.16,3266.9995,0.020831602,0.030073922,0.0001491598,0.6892613
83.0,5765792.0,-8.282227,53097.94,3266.988,0.020820193,0.030073894,0.00014908874,0.6888861
84.0,5765792.0,-8.197754,53097.742,3266.9763,0.020808853,0.030073864,0.00014901825,0.68851316
