t,S,I,R,D,beta,gamma,mu,R0
0.0,5833198.5,0.68847656,25189.246,2270.946,0.0123426495,0.030294629,0.00039379773,0.40219232
1.0,5833198.5,0.6586914,25189.29,2270.9497,0.012336636,0.030293263,0.00039134192,0.40204644
2.0,5833198.5,0.62353516,25189.33,2270.953,0.012330652,0.030291906,0.00038890974,0.40190107
3.0,5833198.5,0.59472656,25189.365,2270.9563,0.0123246955,0.030290557,0.0003865003,0.4017561
4.0,5833198.5,0.5605469,25189.402,2270.9597,0.0123187695,0.030289218,0.00038411355,0.40161175
5.0,5833198.5,0.5234375,25189.455,2270.963,0.012312873,0.030287886,0.00038174947,0.4014679
6.0,5833198.5,0.49072266,25189.484,2270.9663,0.012307007,0.030286562,0.00037940766,0.40132457
7.0,5833198.5,0.46289062,25189.533,2270.9697,0.012301167,0.030285247,0.00037708788,0.40118167
8.0,5833198.5,0.43359375,25189.57,2270.9734,0.012295355,0.03028394,0.00037479005,0.4010393
9.0,5833198.5,0.40576172,25189.6,2270.977,0.012289573,0.03028264,0.0003725137,0.40089744
10.0,5833198.5,0.37353516,25189.639,2270.9802,0.01228382,0.03028135,0.00037025908,0.40075612
11.0,5833198.5,0.34326172,25189.678,2270.9836,0.012278095,0.030280067,0.00036802565,0.4006153
12.0,5833198.5,0.31835938,25189.709,2270.987,0.0122724,0.030278793,0.00036581315,0.40047505
13.0,5833198.5,0.29492188,25189.742,2270.9907,0.012266731,0.030277524,0.00036362163,0.40033525
14.0,5833198.5,0.2631836,25189.775,2270.9946,0.012261091,0.030276265,0.00036145057,0.400196
15.0,5833198.5,0.23876953,25189.814,2270.9978,0.0122554805,0.030275015,0.00035930012,0.40005726
16.0,5833198.5,0.2163086,25189.848,2271.0015,0.012249896,0.03027377,0.00035716986,0.39991903
17.0,5833198.5,0.19140625,25189.88,2271.0054,0.012244342,0.030272534,0.0003550596,0.3997814
18.0,5833198.5,0.17236328,25189.918,2271.0085,0.012238815,0.030271307,0.00035296925,0.39964423
19.0,5833198.5,0.14257812,25189.95,2271.0127,0.012233317,0.030270087,0.00035089848,0.3995076
20.0,5833198.5,0.11669922,25189.975,2271.016,0.012227845,0.030268874,0.00034884727,0.3993715
21.0,5833198.5,0.10205078,25190.01,2271.02,0.012222402,0.030267667,0.0003468152,0.39923593
22.0,5833198.5,0.075683594,25190.047,2271.0232,0.012216987,0.03026647,0.0003448024,0.39910093
23.0,5833198.5,0.057617188,25190.06,2271.0273,0.012211598,0.03026528,0.00034280837,0.3989664
24.0,5833198.5,0.03515625,25190.092,2271.0308,0.012206239,0.030264096,0.00034083307,0.39883244
25.0,5833198.5,0.015625,25190.129,2271.035,0.012200907,0.030262921,0.00033887647,0.39869902
26.0,5833198.5,-0.009765625,25190.154,2271.0383,0.012195602,0.030261753,0.0003369379,0.39856613
27.0,5833198.5,-0.023925781,25190.184,2271.042,0.012190324,0.03026059,0.0003350179,0.3984338
28.0,5833198.5,-0.041015625,25190.209,2271.0454,0.012185075,0.030259438,0.00033311578,0.39830202
29.0,5833198.5,-0.055664062,25190.236,2271.0498,0.012179852,0.03025829,0.00033123136,0.39817074
30.0,5833198.5,-0.07470703,25190.27,2271.0532,0.012174657,0.030257152,0.00032936476,0.39804
31.0,5833198.5,-0.09472656,25190.291,2271.057,0.01216949,0.03025602,0.0003275155,0.39790982
32.0,5833198.5,-0.110839844,25190.316,2271.0605,0.012164347,0.030254895,0.00032568365,0.39778015
33.0,5833198.5,-0.123535156,25190.342,2271.065,0.012159234,0.030253775,0.000323869,0.3976511
34.0,5833198.5,-0.13916016,25190.37,2271.068,0.012154146,0.030252665,0.00032207122,0.3975225
35.0,5833198.5,-0.15429688,25190.39,2271.072,0.012149086,0.03025156,0.00032029036,0.3973945
36.0,5833198.5,-0.16845703,25190.422,2271.0757,0.012144053,0.030250464,0.00031852623,0.3972671
37.0,5833198.5,-0.18457031,25190.438,2271.0796,0.0121390475,0.030249372,0.00031677837,0.3971402
38.0,5833198.5,-0.19921875,25190.46,2271.0837,0.012134067,0.030248288,0.00031504693,0.3970138
39.0,5833198.5,-0.21142578,25190.484,2271.0874,0.012129113,0.030247211,0.0003133317,0.396888
40.0,5833198.5,-0.22607422,25190.504,2271.0913,0.012124187,0.030246142,0.0003116325,0.3967628
41.0,5833198.5,-0.23486328,25190.527,2271.095,0.012119288,0.030245079,0.00030994913,0.39663807
42.0,5833198.5,-0.24511719,25190.553,2271.099,0.012114415,0.03024402,0.0003082815,0.396514
43.0,5833198.5,-0.26123047,25190.572,2271.1028,0.012109568,0.03024297,0.0003066295,0.3963904
44.0,5833198.5,-0.26904297,25190.592,2271.107,0.012104748,0.030241927,0.0003049926,0.39626738
45.0,5833198.5,-0.28076172,25190.611,2271.1108,0.012099953,0.03024089,0.00030337123,0.3961449
46.0,5833198.5,-0.2841797,25190.63,2271.1143,0.012095185,0.03023986,0.00030176502,0.39602298
47.0,5833198.5,-0.29492188,25190.656,2271.1184,0.012090443,0.030238835,0.00030017362,0.39590162
48.0,5833198.5,-0.30615234,25190.67,2271.1226,0.012085728,0.030237816,0.000298597,0.39578086
49.0,5833198.5,-0.3154297,25190.691,2271.1262,0.012081038,0.030236805,0.00029703515,0.3956606
50.0,5833198.5,-0.32373047,25190.715,2271.1304,0.012076374,0.0302358,0.0002954878,0.39554092
51.0,5833198.5,-0.32763672,25190.725,2271.134,0.012071737,0.0302348,0.00029395483,0.39542186
52.0,5833198.5,-0.33984375,25190.742,2271.138,0.012067124,0.030233808,0.00029243613,0.39530328
53.0,5833198.5,-0.34814453,25190.76,2271.1418,0.012062539,0.030232823,0.0002909316,0.39518532
54.0,5833198.5,-0.3544922,25190.781,2271.1462,0.012057978,0.03023184,0.00028944103,0.39506787
55.0,5833198.5,-0.3623047,25190.791,2271.1497,0.012053442,0.030230869,0.00028796418,0.39495096
56.0,5833198.5,-0.36669922,25190.812,2271.154,0.012048934,0.0302299,0.00028650105,0.3948347
57.0,5833198.5,-0.37451172,25190.834,2271.1577,0.01204445,0.030228937,0.00028505156,0.39471897
58.0,5833198.5,-0.37939453,25190.848,2271.1614,0.012039991,0.030227982,0.00028361555,0.39460376
59.0,5833198.5,-0.3828125,25190.861,2271.1658,0.01203556,0.030227032,0.00028219272,0.39448923
60.0,5833198.5,-0.38916016,25190.877,2271.1697,0.012031151,0.030226089,0.0002807832,0.39437512
61.0,5833198.5,-0.3959961,25190.89,2271.1733,0.01202677,0.03022515,0.00027938662,0.39426166
62.0,5833198.5,-0.3984375,25190.906,2271.1775,0.012022413,0.030224219,0.00027800296,0.39414877
63.0,5833198.5,-0.40429688,25190.92,2271.1812,0.012018081,0.030223291,0.00027663217,0.3940364
64.0,5833198.5,-0.40722656,25190.94,2271.1853,0.012013775,0.030222371,0.00027527395,0.39392468
65.0,5833198.5,-0.4116211,25190.947,2271.1892,0.012009492,0.030221457,0.0002739284,0.39381343
66.0,5833198.5,-0.41601562,25190.965,2271.1934,0.012005236,0.030220548,0.0002725953,0.3937028
67.0,5833198.5,-0.41992188,25190.982,2271.1973,0.012001006,0.030219644,0.0002712745,0.3935928
68.0,5833198.5,-0.41845703,25190.99,2271.2012,0.011996799,0.030218747,0.00026996573,0.39348328
69.0,5833198.5,-0.42382812,25191.002,2271.2053,0.011992617,0.030217856,0.0002686692,0.39337432
70.0,5833198.5,-0.42822266,25191.014,2271.2092,0.01198846,0.03021697,0.0002673846,0.393266
71.0,5833198.5,-0.4272461,25191.027,2271.2131,0.011984327,0.030216089,0.0002661118,0.3931582
72.0,5833198.5,-0.42822266,25191.04,2271.217,0.01198022,0.030215213,0.0002648507,0.393051
73.0,5833198.5,-0.42919922,25191.047,2271.221,0.011976136,0.030214343,0.00026360134,0.39294434
74.0,5833198.5,-0.43310547,25191.064,2271.2249,0.011972077,0.030213479,0.00026236332,0.39283827
75.0,5833198.5,-0.4321289,25191.068,2271.2288,0.011968043,0.03021262,0.00026113674,0.39273274
76.0,5833198.5,-0.43652344,25191.086,2271.233,0.011964034,0.030211767,0.0002599214,0.39262787
77.0,5833198.5,-0.43652344,25191.096,2271.2373,0.011960048,0.03021092,0.00025871728,0.3925235
78.0,5833198.5,-0.4350586,25191.11,2271.2407,0.011956086,0.030210076,0.0002575242,0.3924197
79.0,5833198.5,-0.4321289,25191.115,2271.2449,0.011952151,0.03020924,0.0002563421,0.3923165
80.0,5833198.5,-0.43603516,25191.127,2271.2488,0.011948238,0.030208407,0.00025517074,0.39221388
81.0,5833198.5,-0.43359375,25191.135,2271.2527,0.011944348,0.03020758,0.00025401023,0.39211175
82.0,5833198.5,-0.43408203,25191.145,2271.2566,0.011940483,0.030206759,0.00025286025,0.39201027
83.0,5833198.5,-0.43164062,25191.154,2271.2607,0.011936642,0.030205943,0.00025172086,0.3919093
84.0,5833198.5,-0.43164062,25191.164,2271.2646,0.011932825,0.03020513,0.00025059193,0.39180893
