t,S,I,R,D,beta_const,gamma_const,mu_const,R0_const
0.0,60461860.0,0.0,0.0,0.0,0.03314041694561959,0.023213770339604645,0.00751999452519575,1.0783064519236805
1.0,60461930.0,0.0,0.0,0.0,0.03314041694561959,0.023213770339604645,0.00751999452519575,1.0783064519236805
2.0,60461900.0,0.0,0.0,0.0,0.03314041694561959,0.023213770339604645,0.00751999452519575,1.0783064519236805
3.0,60461960.0,0.0,0.0,0.0,0.03314041694561959,0.023213770339604645,0.00751999452519575,1.0783064519236805
4.0,60461990.0,0.0,0.0,0.0,0.03314041694561959,0.023213770339604645,0.00751999452519575,1.0783064519236805
5.0,60461940.0,0.0,0.0,0.0,0.03314041694561959,0.023213770339604645,0.00751999452519575,1.0783064519236805
6.0,60461892.0,0.0,0.0,0.0,0.03314041694561959,0.023213770339604645,0.00751999452519575,1.0783064519236805
7.0,60461892.0,0.0,0.0,0.0,0.03314041694561959,0.023213770339604645,0.00751999452519575,1.0783064519236805
8.0,60461932.0,0.0,0.0,0.0,0.03314041694561959,0.023213770339604645,0.00751999452519575,1.0783064519236805
9.0,60461980.0,0.0,0.0,0.0,0.03314041694561959,0.023213770339604645,0.00751999452519575,1.0783064519236805
10.0,60462016.0,0.0,0.0,0.0,0.03314041694561959,0.023213770339604645,0.00751999452519575,1.0783064519236805
11.0,60462030.0,0.0,0.0,0.0,0.03314041694561959,0.023213770339604645,0.00751999452519575,1.0783064519236805
12.0,60462024.0,0.0,0.0,5.2e-44,0.03314041694561959,0.023213770339604645,0.00751999452519575,1.0783064519236805
13.0,60462000.0,0.0,0.0,9.806552e-37,0.03314041694561959,0.023213770339604645,0.00751999452519575,1.0783064519236805
14.0,60461970.0,0.0,0.0,7.679008e-30,0.03314041694561959,0.023213770339604645,0.00751999452519575,1.0783064519236805
15.0,60461932.0,0.0,0.0,1.5292681e-23,0.03314041694561959,0.023213770339604645,0.00751999452519575,1.0783064519236805
16.0,60461900.0,0.0,0.0,5.3993458e-18,0.03314041694561959,0.023213770339604645,0.00751999452519575,1.0783064519236805
17.0,60461870.0,0.0,0.0,2.6670406e-13,0.03314041694561959,0.023213770339604645,0.00751999452519575,1.0783064519236805
18.0,60461856.0,0.0,0.0,1.6297108e-09,0.03314041694561959,0.023213770339604645,0.00751999452519575,1.0783064519236805
19.0,60461852.0,0.0,0.0,1.1629492e-06,0.03314041694561959,0.023213770339604645,0.00751999452519575,1.0783064519236805
20.0,60461852.0,0.0,0.0,9.9400015e-05,0.03314041694561959,0.023213770339604645,0.00751999452519575,1.0783064519236805
21.0,60461864.0,0.0,0.0,0.0010728352,0.03314041694561959,0.023213770339604645,0.00751999452519575,1.0783064519236805
22.0,60461890.0,0.0,0.0,0.0016290473,0.03314041694561959,0.023213770339604645,0.00751999452519575,1.0783064519236805
23.0,60461910.0,0.0,0.0,0.00039693364,0.03314041694561959,0.023213770339604645,0.00751999452519575,1.0783064519236805
24.0,60461944.0,0.0,0.0,1.8271548e-05,0.03314041694561959,0.023213770339604645,0.00751999452519575,1.0783064519236805
25.0,60461976.0,0.0,0.0,1.907756e-07,0.03314041694561959,0.023213770339604645,0.00751999452519575,1.0783064519236805
26.0,60462004.0,0.0,0.0,5.6074334e-10,0.03314041694561959,0.023213770339604645,0.00751999452519575,1.0783064519236805
27.0,60462028.0,0.0,0.0,5.89402e-13,0.03314041694561959,0.023213770339604645,0.00751999452519575,1.0783064519236805
28.0,60462044.0,0.0,0.0,2.8965763e-16,0.03314041694561959,0.023213770339604645,0.00751999452519575,1.0783064519236805
29.0,60462052.0,0.0,0.0,8.995473e-20,0.03314041694561959,0.023213770339604645,0.00751999452519575,1.0783064519236805
30.0,60462040.0,0.0,0.0,2.4593247e-23,0.03314041694561959,0.023213770339604645,0.00751999452519575,1.0783064519236805
31.0,60462004.0,0.0,0.0,8.620754e-27,0.03314041694561959,0.023213770339604645,0.00751999452519575,1.0783064519236805
32.0,60461948.0,0.21688843,0.0,5.89633e-30,0.03314041694561959,0.023213770339604645,0.00751999452519575,1.0783064519236805
33.0,60461864.0,130.97656,0.0,1.2654874e-32,0.03314041694561959,0.023213770339604645,0.00751999452519575,1.0783064519236805
34.0,60461740.0,284.33203,0.0,1.4654047e-34,0.03314041694561959,0.023213770339604645,0.00751999452519575,1.0783064519236805
35.0,60461580.0,462.36328,0.0,1.6913666e-35,0.03314041694561959,0.023213770339604645,0.00751999452519575,1.0783064519236805
36.0,60461372.0,669.59375,0.0,3.9440832e-35,0.03314041694561959,0.023213770339604645,0.00751999452519575,1.0783064519236805
37.0,60461108.0,911.6836,0.0,4.2058648e-33,0.03314041694561959,0.023213770339604645,0.00751999452519575,1.0783064519236805
38.0,60460784.0,1195.5273,0.0,5.2604766e-29,0.03314041694561959,0.023213770339604645,0.00751999452519575,1.0783064519236805
39.0,60460390.0,1529.5273,0.0,2.3016583e-22,0.03314041694561959,0.023213770339604645,0.00751999452519575,1.0783064519236805
40.0,60459920.0,1923.8867,0.0,1.246546e-12,0.03314041694561959,0.023213770339604645,0.00751999452519575,1.0783064519236805
41.0,60459350.0,2390.7695,0.0,3.5985456,0.03314041694561959,0.023213770339604645,0.00751999452519575,1.0783064519236805
42.0,60458684.0,2944.4531,0.0,44.784668,0.03314041694561959,0.023213770339604645,0.00751999452519575,1.0783064519236805
43.0,60457892.0,3601.3984,0.0,98.08984,0.03314041694561959,0.023213770339604645,0.00751999452519575,1.0783064519236805
44.0,60456960.0,4380.1836,0.0,165.5542,0.03314041694561959,0.023213770339604645,0.00751999452519575,1.0783064519236805
45.0,60455864.0,5301.1445,0.0,249.4043,0.03314041694561959,0.023213770339604645,0.00751999452519575,1.0783064519236805
46.0,60454588.0,6385.7656,0.0,351.98682,0.03314041694561959,0.023213770339604645,0.00751999452519575,1.0783064519236805
47.0,60453096.0,7655.885,0.0,475.71484,0.03314041694561959,0.023213770339604645,0.00751999452519575,1.0783064519236805
48.0,60451364.0,9132.635,201.9502,622.9966,0.03314041694561959,0.023213770339604645,0.00751999452519575,1.0783064519236805
49.0,60449356.0,10835.449,615.66797,796.2202,0.03314041694561959,0.023213770339604645,0.00751999452519575,1.0783064519236805
50.0,60447044.0,12781.164,1043.0029,997.79004,0.03314041694561959,0.023213770339604645,0.00751999452519575,1.0783064519236805
51.0,60444390.0,14983.602,1483.4473,1230.2593,0.03314041694561959,0.023213770339604645,0.00751999452519575,1.0783064519236805
52.0,60441370.0,17453.361,1936.9727,1496.5381,0.03314041694561959,0.023213770339604645,0.00751999452519575,1.0783064519236805
53.0,60437950.0,20197.748,2404.4102,1800.1274,0.03314041694561959,0.023213770339604645,0.00751999452519575,1.0783064519236805
54.0,60434124.0,23220.094,2887.7812,2145.2563,0.03314041694561959,0.023213770339604645,0.00751999452519575,1.0783064519236805
55.0,60429890.0,26518.121,3390.6484,2536.7373,0.03314041694561959,0.023213770339604645,0.00751999452519575,1.0783064519236805
56.0,60425260.0,30080.648,3918.296,2979.4453,0.03314041694561959,0.023213770339604645,0.00751999452519575,1.0783064519236805
57.0,60420276.0,33883.633,4477.668,3477.3726,0.03314041694561959,0.023213770339604645,0.00751999452519575,1.0783064519236805
58.0,60415000.0,37886.504,5076.9365,4032.4973,0.03314041694561959,0.023213770339604645,0.00751999452519575,1.0783064519236805
59.0,60409500.0,42031.17,5724.756,4643.88,0.03314041694561959,0.023213770339604645,0.00751999452519575,1.0783064519236805
60.0,60403864.0,46245.516,6429.15,5307.424,0.03314041694561959,0.023213770339604645,0.00751999452519575,1.0783064519236805
61.0,60398164.0,50451.84,7196.4087,6016.498,0.03314041694561959,0.023213770339604645,0.00751999452519575,1.0783064519236805
62.0,60392476.0,54577.46,8030.173,6763.1084,0.03314041694561959,0.023213770339604645,0.00751999452519575,1.0783064519236805
63.0,60386844.0,58564.36,8931.047,7539.049,0.03314041694561959,0.023213770339604645,0.00751999452519575,1.0783064519236805
64.0,60381304.0,62373.6,9896.843,8336.41,0.03314041694561959,0.023213770339604645,0.00751999452519575,1.0783064519236805
65.0,60375870.0,65984.89,10923.303,9147.463,0.03314041694561959,0.023213770339604645,0.00751999452519575,1.0783064519236805
66.0,60370570.0,69391.97,12005.133,9964.202,0.03314041694561959,0.023213770339604645,0.00751999452519575,1.0783064519236805
67.0,60365396.0,72597.41,13136.926,10778.097,0.03314041694561959,0.023213770339604645,0.00751999452519575,1.0783064519236805
68.0,60360380.0,75608.336,14313.84,11580.41,0.03314041694561959,0.023213770339604645,0.00751999452519575,1.0783064519236805
69.0,60355524.0,78433.92,15532.004,12363.014,0.03314041694561959,0.023213770339604645,0.00751999452519575,1.0783064519236805
70.0,60350850.0,81084.61,16788.61,13119.43,0.03314041694561959,0.023213770339604645,0.00751999452519575,1.0783064519236805
71.0,60346348.0,83572.125,18081.889,13845.684,0.03314041694561959,0.023213770339604645,0.00751999452519575,1.0783064519236805
72.0,60342016.0,85909.234,19411.014,14540.693,0.03314041694561959,0.023213770339604645,0.00751999452519575,1.0783064519236805
73.0,60337840.0,88109.75,20775.879,15206.121,0.03314041694561959,0.023213770339604645,0.00751999452519575,1.0783064519236805
74.0,60333788.0,90187.75,22177.035,15845.81,0.03314041694561959,0.023213770339604645,0.00751999452519575,1.0783064519236805
75.0,60329830.0,92156.64,23615.59,16464.969,0.03314041694561959,0.023213770339604645,0.00751999452519575,1.0783064519236805
76.0,60325940.0,94028.0,25093.2,17069.277,0.03314041694561959,0.023213770339604645,0.00751999452519575,1.0783064519236805
77.0,60322092.0,95810.14,26612.098,17664.0,0.03314041694561959,0.023213770339604645,0.00751999452519575,1.0783064519236805
78.0,60318264.0,97506.84,28175.188,18253.203,0.03314041694561959,0.023213770339604645,0.00751999452519575,1.0783064519236805
79.0,60314444.0,99116.17,29786.059,18839.152,0.03314041694561959,0.023213770339604645,0.00751999452519575,1.0783064519236805
80.0,60310644.0,100630.14,31449.047,19422.035,0.03314041694561959,0.023213770339604645,0.00751999452519575,1.0783064519236805
81.0,60306870.0,102035.48,33169.023,20000.055,0.03314041694561959,0.023213770339604645,0.00751999452519575,1.0783064519236805
82.0,60303150.0,103315.71,34951.227,20569.98,0.03314041694561959,0.023213770339604645,0.00751999452519575,1.0783064519236805
83.0,60299516.0,104454.2,36800.777,21127.977,0.03314041694561959,0.023213770339604645,0.00751999452519575,1.0783064519236805
84.0,60295984.0,105437.06,38722.28,21670.488,0.03314041694561959,0.023213770339604645,0.00751999452519575,1.0783064519236805
85.0,60292580.0,106255.58,40719.312,22194.965,0.03314041694561959,0.023213770339604645,0.00751999452519575,1.0783064519236805
86.0,60289316.0,106906.81,42794.125,22700.219,0.03314041694561959,0.023213770339604645,0.00751999452519575,1.0783064519236805
87.0,60286188.0,107393.36,44947.297,23186.395,0.03314041694561959,0.023213770339604645,0.00751999452519575,1.0783064519236805
88.0,60283196.0,107721.55,47177.57,23654.707,0.03314041694561959,0.023213770339604645,0.00751999452519575,1.0783064519236805
89.0,60280332.0,107899.83,49481.715,24107.035,0.03314041694561959,0.023213770339604645,0.00751999452519575,1.0783064519236805
