t,S,I,R,D,beta,gamma,mu,R0
0.0,60461892.0,261.70874,-117.645355,-137.16518,0.36072972,0.0044756234,0.04439212,7.3817554
1.0,60461916.0,211.19763,-117.12243,-155.09874,0.355404,0.004555434,0.043665268,7.3703613
2.0,60461940.0,161.45116,-116.311905,-173.19302,0.35007364,0.004636839,0.042940196,7.358038
3.0,60461972.0,112.70807,-115.22132,-191.40918,0.3447407,0.0047198534,0.0422172,7.344745
4.0,60462012.0,65.265175,-113.73697,-209.72948,0.33940655,0.004804522,0.0414966,7.330417
5.0,60462052.0,19.367691,-111.9203,-228.10463,0.33407336,0.004890889,0.040778708,7.315006
6.0,60462100.0,-24.65531,-109.691475,-246.49088,0.32874274,0.0049789697,0.040063832,7.2984524
7.0,60462150.0,-66.47797,-107.062195,-264.8535,0.3234166,0.005068809,0.039352268,7.280701
8.0,60462210.0,-105.729256,-104.0216,-283.13132,0.31809667,0.005160436,0.038644306,7.261695
9.0,60462268.0,-141.91878,-100.52161,-301.26218,0.3127848,0.005253896,0.037940253,7.2413697
10.0,60462332.0,-174.59485,-96.626595,-319.1924,0.30748302,0.005349219,0.037240393,7.2196717
11.0,60462400.0,-203.29286,-92.28808,-336.84027,0.30219293,0.005446464,0.036544986,7.1965346
12.0,60462468.0,-227.34502,-87.5884,-354.1241,0.29691654,0.005545646,0.035854317,7.1719036
13.0,60462536.0,-246.17053,-82.522545,-370.95886,0.29165572,0.00564681,0.035168644,7.145718
14.0,60462604.0,-259.04028,-77.061676,-387.24936,0.28641236,0.0057499856,0.034488242,7.117917
15.0,60462670.0,-265.15414,-71.335785,-402.8852,0.28118816,0.0058552474,0.033813335,7.0884347
16.0,60462740.0,-263.68616,-65.30726,-417.73593,0.275985,0.0059625953,0.033144176,7.0572176
17.0,60462804.0,-253.6588,-59.005764,-431.6833,0.2708048,0.006072104,0.03248101,7.0242
18.0,60462860.0,-234.00734,-52.541252,-444.5667,0.26564926,0.006183803,0.03182403,6.9893293
19.0,60462910.0,-203.64131,-45.973072,-456.22995,0.26052025,0.0062977374,0.031173468,6.952545
20.0,60462956.0,-161.25082,-39.240616,-466.4891,0.2554195,0.0064139515,0.030529534,6.9137893
21.0,60462990.0,-105.445335,-32.439606,-475.14978,0.25034878,0.0065324903,0.02989241,6.8730125
22.0,60463012.0,-34.714943,-25.61686,-481.98904,0.24531002,0.0066533834,0.029262299,6.830165
23.0,60463016.0,52.608364,-18.808744,-486.76913,0.24030454,0.0067767054,0.02863936,6.7851844
24.0,60463004.0,158.34744,-12.002717,-489.22757,0.23533423,0.006902486,0.028023763,6.7380333
25.0,60462972.0,284.4768,-5.1979446,-489.07446,0.23040076,0.00703077,0.027415667,6.6886673
26.0,60462916.0,433.21616,1.6712009,-485.9851,0.22550566,0.0071616173,0.026815219,6.637041
27.0,60462830.0,606.8981,8.618096,-479.61417,0.22065051,0.007295072,0.02622254,6.583121
28.0,60462716.0,808.1134,15.784447,-469.5829,0.2158369,0.0074311644,0.025637776,6.526877
29.0,60462570.0,1039.6593,23.276844,-455.47278,0.21106617,0.0075699836,0.025061024,6.46827
30.0,60462376.0,1304.5199,31.383297,-436.83063,0.20633991,0.0077115446,0.024492392,6.4072886
