t,S,I,R,D,beta_const,gamma_const,mu_const,R0_const
0.0,5995515.5,4197.2344,247.5376,41.798706,0.03197554798005259,0.02179159630818056,0.0064538390593016914,1.1320607228757624
1.0,5995225.5,4252.3096,437.35547,82.48425,0.03197554798005259,0.02179159630818056,0.0064538390593016914,1.1320607228757624
2.0,5994987.0,4309.2964,597.0386,139.6914,0.03197554798005259,0.02179159630818056,0.0064538390593016914,1.1320607228757624
3.0,5994699.0,4362.52,780.4595,181.56653,0.03197554798005259,0.02179159630818056,0.0064538390593016914,1.1320607228757624
4.0,5994417.0,4444.808,954.3926,209.35388,0.03197554798005259,0.02179159630818056,0.0064538390593016914,1.1320607228757624
5.0,5994124.0,4545.2495,1130.0977,234.54321,0.03197554798005259,0.02179159630818056,0.0064538390593016914,1.1320607228757624
6.0,5993819.5,4647.576,1309.9131,261.25,0.03197554798005259,0.02179159630818056,0.0064538390593016914,1.1320607228757624
7.0,5993517.0,4744.029,1487.4312,289.3875,0.03197554798005259,0.02179159630818056,0.0064538390593016914,1.1320607228757624
8.0,5993228.5,4832.758,1657.478,318.11774,0.03197554798005259,0.02179159630818056,0.0064538390593016914,1.1320607228757624
9.0,5992956.0,4914.52,1818.311,346.8634,0.03197554798005259,0.02179159630818056,0.0064538390593016914,1.1320607228757624
10.0,5992699.0,4990.84,1970.2363,375.31934,0.03197554798005259,0.02179159630818056,0.0064538390593016914,1.1320607228757624
11.0,5992454.5,5063.213,2114.1646,403.30554,0.03197554798005259,0.02179159630818056,0.0064538390593016914,1.1320607228757624
12.0,5992221.0,5132.843,2250.9102,430.6801,0.03197554798005259,0.02179159630818056,0.0064538390593016914,1.1320607228757624
13.0,5991996.0,5200.615,2381.0278,457.31342,0.03197554798005259,0.02179159630818056,0.0064538390593016914,1.1320607228757624
14.0,5991779.5,5267.1445,2504.8618,483.09088,0.03197554798005259,0.02179159630818056,0.0064538390593016914,1.1320607228757624
15.0,5991571.0,5332.8525,2622.662,507.92432,0.03197554798005259,0.02179159630818056,0.0064538390593016914,1.1320607228757624
16.0,5991369.0,5398.03,2734.6768,531.75916,0.03197554798005259,0.02179159630818056,0.0064538390593016914,1.1320607228757624
17.0,5991174.5,5462.8755,2841.2021,554.5752,0.03197554798005259,0.02179159630818056,0.0064538390593016914,1.1320607228757624
18.0,5990986.0,5527.536,2942.5923,576.3839,0.03197554798005259,0.02179159630818056,0.0064538390593016914,1.1320607228757624
19.0,5990803.5,5592.128,3039.2627,597.2206,0.03197554798005259,0.02179159630818056,0.0064538390593016914,1.1320607228757624
20.0,5990626.5,5656.747,3131.6582,617.1391,0.03197554798005259,0.02179159630818056,0.0064538390593016914,1.1320607228757624
21.0,5990454.0,5721.481,3220.244,636.204,0.03197554798005259,0.02179159630818056,0.0064538390593016914,1.1320607228757624
22.0,5990285.5,5786.41,3305.4753,654.48486,0.03197554798005259,0.02179159630818056,0.0064538390593016914,1.1320607228757624
23.0,5990120.5,5851.6094,3387.7983,672.05316,0.03197554798005259,0.02179159630818056,0.0064538390593016914,1.1320607228757624
24.0,5989958.5,5917.1514,3467.626,688.9785,0.03197554798005259,0.02179159630818056,0.0064538390593016914,1.1320607228757624
25.0,5989799.0,5983.1064,3545.343,705.32697,0.03197554798005259,0.02179159630818056,0.0064538390593016914,1.1320607228757624
26.0,5989641.5,6049.531,3621.3022,721.1608,0.03197554798005259,0.02179159630818056,0.0064538390593016914,1.1320607228757624
