t,S,I,R,D,beta,gamma,mu,R0
0.0,5991832.0,5751.1304,1353.6963,238.83354,0.0027119033,0.008667469,0.0012803257,0.27261353
1.0,5991750.0,5774.4165,1434.2434,252.38643,0.003026735,0.008734196,0.0013032049,0.30154568
2.0,5991668.0,5797.522,1514.116,265.90076,0.0033444576,0.008801863,0.0013265461,0.33020562
3.0,5991585.0,5820.459,1593.2675,279.3808,0.0036650114,0.008870482,0.0013503612,0.35858208
4.0,5991501.5,5843.226,1671.7368,292.82367,0.003988426,0.008940056,0.001374656,0.38667354
5.0,5991417.5,5865.8047,1749.5808,306.2386,0.0043147914,0.009010598,0.0013994426,0.41448364
6.0,5991333.0,5888.2324,1826.7788,319.62274,0.0046440475,0.009082139,0.0014247239,0.44200134
7.0,5991248.0,5910.482,1903.3978,332.97913,0.0049762838,0.009154692,0.0014505178,0.4692301
8.0,5991162.0,5932.5654,1979.4354,346.3112,0.0053115003,0.009228259,0.0014768243,0.49616617
9.0,5991075.0,5954.518,2054.8618,359.6203,0.0056496374,0.009302869,0.0015036553,0.5227987
10.0,5990988.0,5976.3047,2129.818,372.9111,0.005990844,0.009378523,0.0015310228,0.54913783
11.0,5990899.5,5997.9434,2204.256,386.1827,0.006335091,0.009455249,0.0015589327,0.5751758
12.0,5990810.5,6019.4473,2278.1953,399.43918,0.006682407,0.009533063,0.0015873968,0.6009111
13.0,5990721.0,6040.8037,2351.6707,412.68613,0.007032793,0.009611979,0.0016164184,0.62633985
14.0,5990630.0,6062.0615,2424.69,425.92242,0.0073862486,0.009691998,0.0016460092,0.6514591
15.0,5990538.5,6083.188,2497.3474,439.15402,0.0077428333,0.00977318,0.001676181,0.67626774
16.0,5990446.0,6104.202,2569.656,452.3833,0.008102607,0.009855494,0.001706937,0.7007702
17.0,5990353.0,6125.1143,2641.5603,465.61166,0.00846551,0.009938985,0.001738286,0.7249562
18.0,5990258.5,6145.928,2713.2085,478.8419,0.008831602,0.010023668,0.0017702401,0.7488274
19.0,5990163.0,6166.698,2784.4873,492.0814,0.009200912,0.010109559,0.0018028021,0.7723836
20.0,5990066.0,6187.358,2855.5698,505.33087,0.009573411,0.010196671,0.0018359841,0.7956192
21.0,5989968.5,6207.9717,2926.439,518.5927,0.009949159,0.01028502,0.0018697887,0.8185369
22.0,5989869.5,6228.5483,2997.131,531.8739,0.010328185,0.01037465,0.0019042284,0.8411342
23.0,5989769.5,6249.09,3067.654,545.1745,0.010710519,0.010465547,0.0019393027,0.8634138
24.0,5989668.5,6269.6006,3138.044,558.50006,0.011096131,0.010557756,0.001975024,0.8853687
25.0,5989566.0,6290.1333,3208.3835,571.85333,0.011485051,0.01065129,0.0020113946,0.9069997
26.0,5989462.0,6310.6836,3278.6777,585.2415,0.0118773095,0.010746151,0.002048418,0.92830867
27.0,5989356.5,6331.2607,3348.9524,598.66705,0.012272965,0.010842398,0.0020861,0.9492955
28.0,5989250.0,6351.8926,3419.2952,612.13135,0.012671959,0.01094,0.0021244497,0.96995735
29.0,5989141.5,6372.5796,3489.6772,625.64215,0.01307432,0.0110390335,0.002163458,0.9902919
30.0,5989032.0,6393.381,3560.142,639.2034,0.013480138,0.011139482,0.0022031367,1.0103067
31.0,5988920.5,6414.3096,3630.7954,652.8194,0.013889354,0.011241391,0.002243486,1.0299948
32.0,5988808.0,6435.352,3701.6577,666.49493,0.014301997,0.011344761,0.002284503,1.0493594
33.0,5988693.0,6456.5723,3772.7207,680.2321,0.0147181265,0.01144962,0.0023261847,1.0684041
34.0,5988577.0,6477.9795,3844.0557,694.0406,0.015137713,0.011556014,0.0023685338,1.0871242
35.0,5988458.5,6499.61,3915.7305,707.92224,0.015560757,0.011663929,0.0024115443,1.1055229
36.0,5988338.5,6521.4766,3987.786,721.88257,0.015987318,0.011773422,0.0024552138,1.1236016
37.0,5988216.5,6543.6353,4060.2534,735.9268,0.016417395,0.0118845105,0.0024995299,1.1413618
38.0,5988093.0,6566.0957,4133.144,750.0627,0.01685099,0.011997193,0.0025444925,1.1588057
39.0,5987967.0,6588.8975,4206.5845,764.2913,0.01728807,0.01211153,0.0025900842,1.17593
40.0,5987838.5,6612.085,4280.5557,778.6223,0.017728757,0.01222752,0.0026362955,1.192746
41.0,5987708.5,6635.701,4355.136,793.05945,0.01817296,0.012345195,0.002683118,1.2092482
42.0,5987576.0,6659.751,4430.382,807.6094,0.01862074,0.012464583,0.0027305246,1.2254432
43.0,5987441.0,6684.305,4506.3335,822.2782,0.019072067,0.012585714,0.0027785033,1.2413301
44.0,5987304.0,6709.412,4583.003,837.07025,0.01952697,0.012708604,0.0028270304,1.2569149
45.0,5987164.5,6735.1016,4660.502,851.99445,0.019985449,0.012833282,0.002876085,1.2721995
46.0,5987022.0,6761.422,4738.8735,867.05334,0.020447534,0.012959793,0.0029256314,1.2871884
47.0,5986877.5,6788.4316,4818.15,882.2559,0.020913195,0.013088137,0.0029756457,1.3018848
48.0,5986730.0,6816.176,4898.4014,897.60846,0.021382462,0.013218373,0.003026095,1.316292
49.0,5986579.5,6844.713,4979.6953,913.1198,0.021855306,0.013350502,0.003076935,1.3304149
50.0,5986426.5,6874.086,5062.0522,928.7919,0.022331726,0.013484567,0.0031281263,1.3442568
51.0,5986270.5,6904.377,5145.5317,944.63403,0.022811782,0.013620585,0.0031796247,1.3578272
52.0,5986111.5,6935.648,5230.232,960.65625,0.023295384,0.013758585,0.0032313764,1.3711264
53.0,5985949.0,6967.953,5316.194,976.86163,0.023782592,0.013898611,0.0032833219,1.3841628
54.0,5985783.5,7001.3525,5403.46,993.25635,0.024273377,0.014040679,0.0033354105,1.3969413
