S,I,R,D
999.000000,1.000000,0.000000,0.000000
998.900100,1.036900,0.060000,0.003000
998.796524,1.075151,0.122214,0.006111
998.689138,1.114802,0.186723,0.009336
998.577804,1.155904,0.253611,0.012681
998.462378,1.198508,0.322965,0.016148
998.342712,1.242669,0.394876,0.019744
998.218651,1.288441,0.469436,0.023472
998.090036,1.335884,0.546743,0.027337
997.956703,1.385057,0.626896,0.031345
997.818480,1.436021,0.709999,0.035500
997.675191,1.488840,0.796160,0.039808
997.526653,1.543581,0.885491,0.044275
997.372677,1.600312,0.978106,0.048905
997.213066,1.659103,1.074124,0.053706
997.047618,1.720028,1.173670,0.058684
996.876124,1.783161,1.276872,0.063844
996.698364,1.848581,1.383862,0.069193
996.514117,1.916368,1.494777,0.074739
996.323148,1.986605,1.609759,0.080488
996.125218,2.059379,1.728955,0.086448
995.920078,2.134778,1.852518,0.092626
995.707471,2.212894,1.980604,0.099030
995.487132,2.293821,2.113378,0.105669
995.258785,2.377658,2.251007,0.112550
995.022146,2.464504,2.393667,0.119683
994.776922,2.554464,2.541537,0.127077
994.522810,2.647645,2.694805,0.134740
994.259496,2.744157,2.853664,0.142683
993.986656,2.844116,3.018313,0.150916
993.703954,2.947638,3.188960,0.159448
993.411046,3.054844,3.365818,0.168291
993.107575,3.165861,3.549109,0.177455
992.793171,3.280816,3.739061,0.186953
992.467454,3.399841,3.935909,0.196795
992.130030,3.523075,4.139900,0.206995
991.780496,3.650656,4.351284,0.217564
991.418431,3.782729,4.570324,0.228516
991.043404,3.919444,4.797288,0.239864
990.654970,4.060953,5.032454,0.251623
990.252670,4.207413,5.276111,0.263806
989.836029,4.358987,5.528556,0.276428
989.404561,4.515839,5.790095,0.289505
988.957762,4.678140,6.061046,0.303052
988.495114,4.846065,6.341734,0.317087
988.016083,5.019795,6.632498,0.331625
987.520119,5.199511,6.933686,0.346684
987.006657,5.385404,7.245656,0.362283
986.475114,5.577667,7.568781,0.378439
985.924891,5.776497,7.903441,0.395172
985.355371,5.982097,8.250030,0.412502
984.765922,6.194674,8.608956,0.430448
984.155892,6.414439,8.980637,0.449032
983.524611,6.641611,9.365503,0.468275
982.871392,6.876408,9.764000,0.488200
982.195530,7.119057,10.176584,0.508829
981.496299,7.369787,10.603728,0.530186
980.772958,7.628832,11.045915,0.552296
980.024742,7.896431,11.503645,0.575182
979.250873,8.172825,11.977431,0.598872
978.450548,8.458262,12.467800,0.623390
977.622949,8.752991,12.975296,0.648765
976.767236,9.057265,13.500475,0.675024
975.882552,9.371341,14.043911,0.702196
974.968020,9.695479,14.606192,0.730310
974.022741,10.029942,15.187920,0.759396
973.045802,10.374995,15.789717,0.789486
972.036268,10.730905,16.412217,0.820611
970.993185,11.097941,17.056071,0.852804
969.915582,11.476373,17.721947,0.886097
968.802471,11.866473,18.410530,0.920526
967.652844,12.268512,19.122518,0.956126
966.465678,12.682762,19.858629,0.992931
965.239933,13.109493,20.619594,1.030980
963.974552,13.548976,21.406164,1.070308
962.668465,14.001477,22.219103,1.110955
961.320587,14.467262,23.059191,1.152960
959.929820,14.946592,23.927227,1.196361
958.495052,15.439725,24.824022,1.241201
957.015162,15.946912,25.750406,1.287520
955.489018,16.468400,26.707221,1.335361
953.915481,17.004429,27.695325,1.384766
952.293402,17.555228,28.715590,1.435780
950.621629,18.121022,29.768904,1.488445
948.899005,18.702021,30.856165,1.542808
947.124373,19.298427,31.978287,1.598914
945.296572,19.910427,33.136192,1.656810
943.414446,20.538196,34.330818,1.716541
941.476843,21.181892,35.563110,1.778155
939.482617,21.841659,36.834023,1.841701
937.430631,22.517621,38.144523,1.907226
935.319760,23.209881,39.495580,1.974779
933.148894,23.918525,40.888173,2.044409
930.916939,24.643612,42.323284,2.116164
928.622824,25.385180,43.801901,2.190095
926.265498,26.143240,45.325012,2.266251
923.843940,26.917774,46.893606,2.344680
921.357158,27.708736,48.508673,2.425434
918.804194,28.516050,50.171197,2.508560
916.184127,29.339605,51.882160,2.594108
913.496079,30.179258,53.642536,2.682127
910.739215,31.034828,55.453292,2.772665
907.912752,31.906098,57.315381,2.865769
905.015957,32.792809,59.229747,2.961487
902.048155,33.694664,61.197316,3.059866
899.008734,34.611321,63.218995,3.160950
895.897146,35.542395,65.295675,3.264784
892.712913,36.487458,67.428218,3.371411
889.455631,37.446030,69.617466,3.480873
886.124972,38.417589,71.864228,3.593211
882.720694,39.401559,74.169283,3.708464
879.242637,40.397318,76.533377,3.826669
875.690732,41.404191,78.957216,3.947861
872.065006,42.421454,81.441467,4.072073
868.365579,43.448329,83.986754,4.199338
864.592676,44.483987,86.593654,4.329683
860.746623,45.527549,89.262693,4.463135
856.827855,46.578082,91.994346,4.599717
852.836915,47.634603,94.789031,4.739452
848.774460,48.696077,97.647107,4.882355
844.641261,49.761423,100.568872,5.028444
840.438206,50.829509,103.554557,5.177728
836.166300,51.899156,106.604328,5.330216
831.826668,52.969141,109.718277,5.485914
827.420553,54.038200,112.896426,5.644821
822.949321,55.105025,116.138718,5.806936
818.414457,56.168273,119.445019,5.972251
813.817564,57.226564,122.815116,6.140756
809.160366,58.278489,126.248709,6.312435
804.444702,59.322609,129.745419,6.487271
799.672526,60.357460,133.304775,6.665239
