day,S,I,R,D,beta,gamma,mu,R0
0,99900.0,119.59227312094646,0.0,2.0292075894898396,0.15,0.06,0.003,2.380952380952381
1,99884.34630944334,103.6183800153531,6.268235075686236,0.4274387618743677,0.15,0.06,0.003,2.380952380952381
2,99867.27551517308,144.51145959793146,13.105043374273464,1.5397311074347493,0.15,0.06,0.003,2.380952380952381
3,99848.66008306417,189.82404124865886,20.561807248985733,0.0,0.15,0.06,0.003,2.380952380952381
4,99828.36114418198,132.2737245331225,28.694516293379,1.656670929579387,0.15,0.06,0.003,2.380952380952381
5,99806.22751419338,145.09486182637448,37.564173697258305,6.387694696995954,0.15,0.06,0.003,2.380952380952381
6,99782.09463408956,230.59635634977195,47.23723672230324,15.5022920664724,0.15,0.06,0.003,2.380952380952381
7,99755.78342490036,213.81168576139697,57.786094761599976,11.575716816442814,0.15,0.06,0.003,2.380952380952381
8,99727.09905187522,181.62904708277188,69.28958734915852,22.962028544655475,0.15,0.06,0.003,2.380952380952381
9,99695.82959192728,239.64577182022344,81.83356534465094,0.0,0.15,0.06,0.003,2.380952380952381
10,99661.74459936336,219.68939220716882,95.51149794784223,12.674633545864541,0.15,0.06,0.003,2.380952380952381
11,99624.59356533222,241.08991810227778,110.42512820473853,7.181459316246569,0.15,0.06,0.003,2.380952380952381
12,99584.10425546189,292.42020119567457,126.68518548653002,26.163415057123814,0.15,0.06,0.003,2.380952380952381
13,99539.98093820621,232.91934109098716,144.41214922798505,0.0,0.15,0.06,0.003,2.380952380952381
14,99491.9024795921,268.1363470460801,163.73707700323155,0.5829845840111281,0.15,0.06,0.003,2.380952380952381
15,99439.52031684523,344.258332184749,184.80249279007677,3.812490051350286,0.15,0.06,0.003,2.380952380952381
16,99382.45629050744,359.4423298284591,207.763346189734,0.0,0.15,0.06,0.003,2.380952380952381
17,99320.30034375502,447.66730869179895,232.78804139597827,6.878572649784922,0.15,0.06,0.003,2.380952380952381
18,99252.60808321025,438.5135158109742,260.0595415086634,6.1288608810416525,0.15,0.06,0.003,2.380952380952381
19,99178.898198927,461.1298558813268,289.77655142236614,15.850676975721855,0.15,0.06,0.003,2.380952380952381
20,99098.64975102017,620.8984237414738,322.1547822879135,19.20241598261488,0.15,0.06,0.003,2.380952380952381
21,99011.29932055414,604.4954977772563,357.4283007479255,34.860561997432484,0.15,0.06,0.003,2.380952380952381
22,98916.23803615189,670.7820164687622,395.8509653147729,28.39884888813444,0.15,0.06,0.003,2.380952380952381
23,98812.80849089945,671.4112376629615,437.6979504595766,16.660905771818918,0.15,0.06,0.003,2.380952380952381
