day,S,I,R,D,beta,gamma,mu,R0
0,99900.0,100.0,0.0,0.0,0.1,0.06,0.003,1.5873015873015874
1,99889.68523967323,103.78639693581319,6.2227325355039,0.3056308554506293,0.10268917926710303,0.062142682737583645,0.003,1.5763732003603403
2,99878.69498957299,107.77567289799062,12.906416479556736,0.6229210494662288,0.1053567068439591,0.06421649788897611,0.003,1.567423328391499
3,99866.98960289806,111.98782176350527,20.070067809476242,0.9525075289337397,0.10798110536700026,0.06615479132887087,0.003,1.5614406940147922
4,99854.52804815701,116.44993883749206,27.726915314088522,1.2950976913934686,0.1105412447224403,0.06789526471127655,0.003,1.5592190137468755
5,99841.26722148215,121.19688686960575,35.88439993193986,1.6514917162936682,0.11301651217352676,0.06938197778961636,0.003,1.5613902192893612
6,99827.16113659898,126.2718279467606,44.544428741451526,2.022606712800919,0.1153869783221772,0.07056714638228086,0.003,1.568457986974046
7,99812.1600196693,131.72662006639544,53.70385802979606,2.409502234486435,0.1176335575687742,0.07141267819554184,0.003,1.5808268217366992
8,99796.20933745388,137.62207450865503,63.35518124599843,2.813406791447495,0.11973816177819137,0.0718913971412152,0.003,1.5988239817774144
9,99779.24879906191,144.0280748978304,73.4873811185354,3.2357449217074383,0.12168384591482176,0.07198791679849578,0.003,1.6227127130602281
10,99761.21137394237,151.02355125335188,84.08691038843659,3.678164415826391,0.12345494447404089,0.07169913494618188,0.003,1.6526957716844495
11,99742.02237966622,158.69628948745677,95.13876763929801,4.142563207013025,0.1250371976116391,0.07103433327061741,0.003,1.688908268473103
12,99721.59869373328,167.14253937233963,106.62765149076407,4.631115403602101,0.12641786595570215,0.07001487904465563,0.003,1.7313986903735805
13,99699.84815225222,176.46636106349104,118.53919090071497,5.146295783552458,0.1275858331765435,0.0686735383659287,0.003,1.7800967565624433
14,99676.66920930354,186.77862412794082,130.861264744452,5.690901824039549,0.1285316954888546,0.06705342302750968,0.003,1.8347668098728132
15,99651.95093731048,198.19554734738227,143.58544327555052,6.268072066567024,0.12924783736545473,0.0652066048694107,0.003,1.894946062964348
16,99625.57345773582,210.83664512524498,156.7085978874528,6.881299251450811,0.12972849285303806,0.0631924421468001,0.003,1.9598686594056938
17,99597.4089006407,224.82193170351718,170.23473144157305,7.534436214180057,0.12996979199623945,0.061075671706841195,0.003,2.0283797037801934
18,99567.32299577509,240.26823370729338,184.17707843268755,8.231692084910453,0.12996979199623945,0.058924328293158794,0.003,2.0988486363702408
19,99535.1773949965,257.28448109059417,198.5605079366593,8.977615976218699,0.12972849285303806,0.056807557853199894,0.003,2.1690986475565843
