day,S,I,R,D,beta,gamma,mu,R0
0,99900.0,0.0,0.0,440.9366109777014,0.1,0.06,0.003,1.5873015873015874
1,99889.68523967323,0.0,6.2227325355039,0.0,0.10268917926710303,0.062142682737583645,0.003,1.5763732003603403
2,99878.69498957299,680.7798957551965,12.906416479556736,0.0,0.1053567068439591,0.06421649788897611,0.003,1.567423328391499
3,99866.98960289806,638.7834850605196,20.070067809476242,0.0,0.10798110536700026,0.06615479132887087,0.003,1.5614406940147922
4,99854.52804815701,1367.4649485015173,27.726915314088522,0.0,0.1105412447224403,0.06789526471127655,0.003,1.5592190137468755
5,99841.26722148215,1630.7306904942964,35.88439993193986,95.47419566175111,0.11301651217352676,0.06938197778961636,0.003,1.5613902192893612
6,99827.16113659898,405.9916437773798,44.544428741451526,0.0,0.1153869783221772,0.07056714638228086,0.003,1.568457986974046
7,99812.1600196693,548.0955596330772,53.70385802979606,438.17250513087816,0.1176335575687742,0.07141267819554184,0.003,1.5808268217366992
8,99796.20933745388,0.0,63.35518124599843,0.0,0.11973816177819137,0.0718913971412152,0.003,1.5988239817774144
9,99779.24879906191,0.0,73.4873811185354,69.7682753862778,0.12168384591482176,0.07198791679849578,0.003,1.6227127130602281
10,99761.21137394237,0.0,84.08691038843659,425.7166563020103,0.12345494447404089,0.07169913494618188,0.003,1.6526957716844495
11,99742.02237966622,0.0,95.13876763929801,77.57353307795772,0.1250371976116391,0.07103433327061741,0.003,1.688908268473103
12,99721.59869373328,0.0,106.62765149076407,42.68228584931833,0.12641786595570215,0.07001487904465563,0.003,1.7313986903735805
13,99699.84815225222,396.7945496473109,118.53919090071497,183.546053632109,0.1275858331765435,0.0686735383659287,0.003,1.7800967565624433
14,99676.66920930354,0.0,130.861264744452,0.0,0.1285316954888546,0.06705342302750968,0.003,1.8347668098728132
15,99651.95093731048,1999.6282044079496,143.58544327555052,0.0,0.12924783736545473,0.0652066048694107,0.003,1.894946062964348
16,99625.57345773582,1985.381365082163,156.7085978874528,14.048002565402115,0.12972849285303806,0.0631924421468001,0.003,1.9598686594056938
