day,S,I,R,D,beta,gamma,mu,R0
0,9999000.0,1000.0,0.0,0.0,0.1,0.06,0.003,1.5873015873015874
1,9998898.138206575,1037.6821187268647,61.1234997138225,3.056174985691126,0.1,0.06,0.003,1.5873015873015874
2,9998792.439195909,1076.7830625158078,124.55023007266924,6.227511503633467,0.1,0.06,0.003,1.5873015873015874
3,9998682.758577602,1117.3561671471746,190.36690976212654,9.518345488106336,0.1,0.06,0.003,1.5873015873015874
4,9998568.946538094,1159.456767556465,258.663518428673,12.933175921433662,0.1,0.06,0.003,1.5873015873015874
5,9998450.847639004,1203.142271856203,329.5334182283074,16.476670911415383,0.1,0.06,0.003,1.5873015873015874
6,9998328.300609596,1248.472237499286,403.07347895746454,20.153673947873237,0.1,0.06,0.003,1.5873015873015874
7,9998201.138127206,1295.5084518253143,479.38421044825577,23.969210522412794,0.1,0.06,0.003,1.5873015873015874
8,9998069.186591199,1344.3150149558792,558.569898899279,27.928494944963955,0.1,0.06,0.003,1.5873015873015874
9,9997932.265883196,1394.9584276790497,640.7387515478288,32.03693757739145,0.1,0.06,0.003,1.5873015873015874
10,9997790.189134236,1447.5076768009462,726.0030371064798,36.300151855324,0.1,0.06,0.003,1.5873015873015874
11,9997642.762486996,1502.0343223098705,814.479229233,40.72396146165,0.1,0.06,0.003,1.5873015873015874
12,9997489.784795692,1558.6126071123028,906.2881878055109,45.31440939027555,0.1,0.06,0.003,1.5873015873015874
13,9997331.047375398,1617.3195488889046,1001.5553102034079,50.07776551017039,0.1,0.06,0.003,1.5873015873015874
14,9997166.333723057,1678.2350421676788,1100.4106997868862,55.02053498934431,0.1,0.06,0.003,1.5873015873015874
15,9996995.419232221,1741.4419626020638,1202.98933826539,60.1494669132695,0.1,0.06,0.003,1.5873015873015874
16,9996818.070876332,1807.0262828074779,1309.4312770097777,65.47156385048889,0.1,0.06,0.003,1.5873015873015874
17,9996634.046904754,1875.0771833661433,1419.881820838665,70.99409104193325,0.1,0.06,0.003,1.5873015873015874
18,9996443.096522924,1945.6871696194644,1534.4917213880603,76.72458606940302,0.1,0.06,0.003,1.5873015873015874
19,9996244.959552478,2018.952195822494,1653.4173825700004,82.67086912850003,0.1,0.06,0.003,1.5873015873015874
20,9996039.3660753,2094.97179483841,1776.82107605826,88.84105380291301,0.1,0.06,0.003,1.5873015873015874
21,9995826.036080394,2173.849206994263,1904.8711548661522,95.24355774330762,0.1,0.06,0.003,1.5873015873015874
22,9995604.679091755,2255.6915157121784,2037.7422786002107,101.88711393001056,0.1,0.06,0.003,1.5873015873015874
23,9995374.99376875,2340.6097928421173,2175.6156556240044,108.78078278120024,0.1,0.06,0.003,1.5873015873015874
24,9995136.66751849,2428.7192399711325,2318.679277653534,115.93396388267676,0.1,0.06,0.003,1.5873015873015874
25,9994889.37607152,2520.139342605689,2467.1281770218466,123.35640885109237,0.1,0.06,0.003,1.5873015873015874
26,9994632.783046594,2614.994028289868,2621.164690585622,131.05823452928115,0.1,0.06,0.003,1.5873015873015874
27,9994366.539516155,2713.4118246494672,2780.998723042584,139.04993615212928,0.1,0.06,0.003,1.5873015873015874
28,9994090.283525754,2815.5260334708555,2946.8480388327544,147.3424019416378,0.1,0.06,0.003,1.5873015873015874
29,9993803.639625125,2921.474900979651,3118.9385465670234,155.94692732835125,0.1,0.06,0.003,1.5873015873015874
30,9993506.218379041,3031.401795257014,3297.504595905288,164.8752297952645,0.1,0.06,0.003,1.5873015873015874
31,9993197.615841849,3145.455396261513,3482.789297037136,174.13946485185687,0.1,0.06,0.003,1.5873015873015874
32,9992877.41300886,3263.789893942571,3675.044854473028,183.75224272365148,0.1,0.06,0.003,1.5873015873015874
33,9992545.175283594,3386.5651813021113,3874.532890574578,193.72664452872897,0.1,0.06,0.003,1.5873015873015874
34,9992200.451896172,3513.9470642186475,4081.524799625762,204.07623998128815,0.1,0.06,0.003,1.5873015873015874
35,9991842.77532232,3646.1074710020266,4296.302101596663,214.8151050798332,0.1,0.06,0.003,1.5873015873015874
36,9991471.660657503,3783.224677961655,4519.1568233661965,225.9578411683099,0.1,0.06,0.003,1.5873015873015874
37,9991086.604979418,3925.4835389280966,4750.391887287646,237.51959436438233,0.1,0.06,0.003,1.5873015873015874
38,9990687.086696446,4073.075719412581,4990.321508705375,249.51607543526876,0.1,0.06,0.003,1.5873015873015874
39,9990272.564867644,4226.199940828727,5239.271610977843,261.9635805488922,0.1,0.06,0.003,1.5873015873015874
40,9989842.478490978,4385.062236044544,5497.580259977068,274.8790129988534,0.1,0.06,0.003,1.5873015873015874
41,9989396.245775413,4549.876210110307,5765.598109025752,288.2799054512876,0.1,0.06,0.003,1.5873015873015874
42,9988933.263382059,4720.86331139039,6043.68886338179,302.1844431690895,0.1,0.06,0.003,1.5873015873015874
43,9988452.905645238,4898.253110421388,6332.229756513573,316.61148782567864,0.1,0.06,0.003,1.5873015873015874
44,9987954.523762893,5082.283588818392,6631.612045988996,331.5806022994498,0.1,0.06,0.003,1.5873015873015874
45,9987437.444955515,5273.201438412644,6942.241529591482,347.1120764795741,0.1,0.06,0.003,1.5873015873015874
46,9986900.971601138,5471.2623692423795,7264.539075827399,363.2269537913699,0.1,0.06,0.003,1.5873015873015874
47,9986344.380341249,5676.731427489416,7598.941172629779,379.94705863148897,0.1,0.06,0.003,1.5873015873015874
48,9985766.921151578,5889.883324682278,7945.9004987980115,397.2950249399006,0.1,0.06,0.003,1.5873015873015874
49,9985167.816379001,6111.002778027444,8305.88651711405,415.29432585570254,0.1,0.06,0.003,1.5873015873015874
50,9984546.259756373,6340.384859453993,8679.386080162112,433.96930400810567,0.1,0.06,0.003,1.5873015873015874
51,9983901.415376168,6578.335357445637,9066.904063222712,453.3452031611356,0.1,0.06,0.003,1.5873015873015874
52,9983232.416625636,6825.171150827533,9468.964022413922,473.4482011206961,0.1,0.06,0.003,1.5873015873015874
53,9982538.365095286,7081.220592947493,9886.108868346371,494.3054434173186,0.1,0.06,0.003,1.5873015873015874
54,9981818.3294482,7346.8239082767805,10318.901565257056,515.9450782628528,0.1,0.06,0.003,1.5873015873015874
55,9981071.34424614,7622.333601674936,10767.925859222505,538.3962929611253,0.1,0.06,0.003,1.5873015873015874
56,9980296.408740329,7908.114879950981,11233.787028304128,561.6893514152064,0.1,0.06,0.003,1.5873015873015874
57,9979492.485630957,8204.546085821046,11717.112650684929,585.8556325342465,0.1,0.06,0.003,1.5873015873015874
58,9978658.49977759,8512.01914535129,12218.553406720945,610.9276703360473,0.1,0.06,0.003,1.5873015873015874
59,9977793.336868392,8830.940028548086,12738.783907673063,636.9391953836533,0.1,0.06,0.003,1.5873015873015874
60,9976895.842025554,9161.729223259694,13278.503572554962,663.9251786277482,0.1,0.06,0.003,1.5873015873015874
61,9975964.818410011,9504.822223442963,13838.437491945146,691.9218745972574,0.1,0.06,0.003,1.5873015873015874
62,9974999.025757922,9860.670031242931,14419.337343650055,720.9668671825028,0.1,0.06,0.003,1.5873015873015874
63,9973997.178870697,10229.739673430964,15021.982338923257,751.099116946163,0.1,0.06,0.003,1.5873015873015874
64,9972957.94605064,10612.514729098908,15647.180209767226,782.3590104883616,0.1,0.06,0.003,1.5873015873015874
65,9971879.947491923,11009.495873222952,16295.768223664927,814.7884111832466,0.1,0.06,0.003,1.5873015873015874
66,9970761.753641967,11421.201441610816,16968.614206111753,848.4307103055879,0.1,0.06,0.003,1.5873015873015874
67,9969601.883491218,11848.168004110525,17666.617623492417,883.330881174621,0.1,0.06,0.003,1.5873015873015874
68,9968398.80281713,12290.950953755386,18390.710694389476,919.5355347194737,0.1,0.06,0.003,1.5873015873015874
69,9967150.922369443,12750.125098058443,19141.85955475585,957.0929777377926,0.1,0.06,0.003,1.5873015873015874
70,9965856.59601386,13226.28529173996,19921.065423232416,996.0532711616208,0.1,0.06,0.003,1.5873015873015874
71,9964514.118814632,13720.047071465191,20729.365822759897,1036.4682911379948,0.1,0.06,0.003,1.5873015873015874
72,9963121.725060828,14232.04730547323,21567.835841612716,1078.391792080636,0.1,0.06,0.003,1.5873015873015874
73,9961677.586243294,14762.944845705118,22437.58943904417,1121.8794719522086,0.1,0.06,0.003,1.5873015873015874
74,9960179.808972578,15313.42119860907,23339.78078934129,1166.9890394670647,0.1,0.06,0.003,1.5873015873015874
75,9958626.43282392,15884.18124427162,24275.60564933707,1213.7802824668538,0.1,0.06,0.003,1.5873015873015874
76,9957015.428137446,16475.953937207516,25246.302786041593,1262.3151393020798,0.1,0.06,0.003,1.5873015873015874
77,9955344.693757355,17089.49302831165,26253.15544221903,1312.657772110952,0.1,0.06,0.003,1.5873015873015874
78,9953612.054747658,17725.577759794374,27297.49285004168,1364.8746425020843,0.1,0.06,0.003,1.5873015873015874
79,9951815.259975107,18385.013654769275,28380.691781065914,1419.0345890532963,0.1,0.06,0.003,1.5873015873015874
80,9949951.979665708,19068.633281039056,29504.178145952028,1475.2089072976019,0.1,0.06,0.003,1.5873015873015874
81,9948019.802902233,19777.297024592233,30669.42864111569,1533.4714320557848,0.1,0.06,0.003,1.5873015873015874
82,9946016.235096613,20511.893845283113,31877.972436285214,1593.898621814261,0.1,0.06,0.003,1.5873015873015874
83,9943938.695396423,21273.342047679016,33131.392910374445,1656.5696455187226,0.1,0.06,0.003,1.5873015873015874
84,9941784.513922054,22062.590155489008,34431.329449954144,1721.5664724977078,0.1,0.06,0.003,1.5873015873015874
85,9939550.92904623,22880.6177061655,35779.479283428176,1788.9739641714093,0.1,0.06,0.003,1.5873015873015874
86,9937235.08459156,23728.436073594596,37177.59936651656,1858.8799683258285,0.1,0.06,0.003,1.5873015873015874
87,9934834.027097637,24607.08920170006,38627.50828634257,1931.3754143171288,0.1,0.06,0.003,1.5873015873015874
88,9932344.702782037,25517.65452823922,40131.088275924565,2006.5544137962286,0.1,0.06,0.003,1.5873015873015874
89,9929763.954557134,26461.243828244358,41690.28725201779,2084.51436260089,0.1,0.06,0.003,1.5873015873015874
90,9927088.519005654,27439.004048771305,43307.12090054296,2165.3560450271484,0.1,0.06,0.003,1.5873015873015874
91,9924315.02338993,28452.11808617784,44983.67478465478,2249.1837392327393,0.1,0.06,0.003,1.5873015873015874
92,9921439.98261364,29501.805558878612,46722.106502358816,2336.105325117941,0.1,0.06,0.003,1.5873015873015874
93,9918459.79582145,30589.32378798223,48524.64799101244,2426.2323995506226,0.1,0.06,0.003,1.5873015873015874
94,9915370.743242005,31715.9685749465,50393.60779337538,2519.6803896687693,0.1,0.06,0.003,1.5873015873015874
95,9912168.98292171,32883.075015592505,52331.373393041256,2616.568669652063,0.1,0.06,0.003,1.5873015873015874
96,9908850.547726104,34092.01810794081,54340.41349138123,2717.0206745690616,0.1,0.06,0.003,1.5873015873015874
97,9905411.341730624,35344.21370800559,56423.280534634316,2821.164026731716,0.1,0.06,0.003,1.5873015873015874
98,9901847.136828255,36641.11930991774,58582.61320173537,2929.130660086769,0.1,0.06,0.003,1.5873015873015874
99,9898153.569359941,37984.2347723236,60821.138921647645,3041.056946082382,0.1,0.06,0.003,1.5873015873015874
100,9894326.136893919,39375.10291868595,63141.67636894492,3157.083818447246,0.1,0.06,0.003,1.5873015873015874
101,9890360.195035225,40815.310079946765,65547.13798554741,3277.3568992773703,0.1,0.06,0.003,1.5873015873015874
102,9886250.953520503,42306.48702385277,68040.53281489665,3402.0266407448325,0.1,0.06,0.003,1.5873015873015874
103,9881993.472952085,43850.309461103454,70624.96913029323,3531.248456514662,0.1,0.06,0.003,1.5873015873015874
104,9877582.661391363,45448.498594992816,73303.65715584917,3665.1828577924584,0.1,0.06,0.003,1.5873015873015874
105,9873013.27158436,47102.82126896948,76079.9115682552,3803.9955784127596,0.1,0.06,0.003,1.5873015873015874
106,9868279.89709496,48815.09069222479,78957.15448839344,3947.8577244196726,0.1,0.06,0.003,1.5873015873015874
107,9863376.968928685,50587.16684193541,81938.9183136926,4096.945915684631,0.1,0.06,0.003,1.5873015873015874
108,9858298.75233263,52420.956720154056,85028.84852115552,4251.442426057776,0.1,0.06,0.003,1.5873015873015874
109,9853039.343939649,54318.41437981243,88230.7063624172,4411.535318120861,0.1,0.06,0.003,1.5873015873015874
110,9847592.66913353,56281.54078293717,91548.37150812396,4577.418575406199,0.1,0.06,0.003,1.5873015873015874
111,9841952.478125116,58312.384309439614,94985.84530042252,4749.292265021126,0.1,0.06,0.003,1.5873015873015874
112,9836112.343350317,60413.04049873358,98547.25347709222,4927.362673854612,0.1,0.06,0.003,1.5873015873015874
113,9830065.656703038,62585.65183203823,102236.8490142125,5111.842450710625,0.1,0.06,0.003,1.5873015873015874
114,9823805.627982784,64832.40683362328,106059.0144605642,5302.950723028211,0.1,0.06,0.003,1.5873015873015874
115,9817325.281596938,67155.5400169758,110018.26512960481,5500.91325648024,0.1,0.06,0.003,1.5873015873015874
116,9810617.454157034,69557.33131272858,114119.2519335584,5705.9625966779195,0.1,0.06,0.003,1.5873015873015874
117,9803674.792550735,72040.10519298416,118366.76405359908,5918.3382026799545,0.1,0.06,0.003,1.5873015873015874
118,9796489.752642507,74606.22943099291,122765.73135857045,6138.286567928523,0.1,0.06,0.003,1.5873015873015874
119,9789054.598558912,77258.11351028114,127321.22660076612,6366.061330038307,0.1,0.06,0.003,1.5873015873015874
120,9781361.399912316,79998.2079687944,132038.46868465448,6601.9234342327245,0.1,0.06,0.003,1.5873015873015874
121,9773402.0313433,82829.00254591875,136922.82486740843,6846.141243370423,0.1,0.06,0.003,1.5873015873015874
122,9765168.171916522,85753.02433350819,141979.81309520602,7098.990654760302,0.1,0.06,0.003,1.5873015873015874
123,9756651.306490187,88772.8349560844,147215.1033845005,7360.755169225025,0.1,0.06,0.003,1.5873015873015874
124,9747842.724699507,91891.02873934426,152634.52053442504,7631.726026721254,0.1,0.06,0.003,1.5873015873015874
125,9738733.521321988,95110.23016919481,158244.0461988701,7912.202309943507,0.1,0.06,0.003,1.5873015873015874
126,9729314.59760004,98433.09083021076,164049.82054261703,8202.491027130854,0.1,0.06,0.003,1.5873015873015874
127,9719576.663523722,101862.28586136339,170058.14344277413,8502.907172138708,0.1,0.06,0.003,1.5873015873015874
128,9709510.241234254,105400.50984615019,176275.4751615188,8813.773758075942,0.1,0.06,0.003,1.5873015873015874
129,9699105.66571944,109050.47366683384,182708.4386797374,9135.42193398687,0.1,0.06,0.003,1.5873015873015874
130,9688353.088904269,112814.89987604994,189363.82020921752,9468.191010460876,0.1,0.06,0.003,1.5873015873015874
131,9677242.483743565,116696.51794891791,196248.56981668057,9812.42849083403,0.1,0.06,0.003,1.5873015873015874
132,9665763.650908792,120698.05852106589,203369.80054299103,10168.490027149553,0.1,0.06,0.003,1.5873015873015874
133,9653906.223047575,124822.24822631649,210734.78926295953,10536.739463147978,0.1,0.06,0.003,1.5873015873015874
134,9641659.670818698,129071.8037714647,218350.9765807968,10917.548829039843,0.1,0.06,0.003,1.5873015873015874
135,9629013.310454827,133449.42532279127,226225.96592607693,11311.29829630385,0.1,0.06,0.003,1.5873015873015874
136,9615956.312515695,137957.78941788033,234367.52196802216,11718.376098401111,0.1,0.06,0.003,1.5873015873015874
137,9602477.712243592,142599.5412632313,242783.56808873804,12139.178404436905,0.1,0.06,0.003,1.5873015873015874
138,9588566.417706324,147377.28707442342,251482.18592309687,12574.109296154846,0.1,0.06,0.003,1.5873015873015874
139,9574211.221628498,152293.58541638858,260471.6123382016,13023.580616910083,0.1,0.06,0.003,1.5873015873015874
140,9559400.813670684,157350.93812300058,269760.2363869652,13488.011819348261,0.1,0.06,0.003,1.5873015873015874
141,9544123.794938825,162551.78096668396,279356.5943757038,13967.829718785191,0.1,0.06,0.003,1.5873015873015874
142,9528368.69184475,167898.47327982585,289269.3665480207,14463.468327401037,0.1,0.06,0.003,1.5873015873015874
143,9512123.971685618,173393.28712028914,299507.3725658012,14975.36862829006,0.1,0.06,0.003,1.5873015873015874
144,9495378.059968874,179038.39596004924,310079.565781976,15503.9782890988,0.1,0.06,0.003,1.5873015873015874
145,9478119.35877324,184835.8632057251,320995.0266866981,16049.751334334904,0.1,0.06,0.003,1.5873015873015874
146,9460336.26642712,190787.63069991185,332262.9551171118,16613.14775585559,0.1,0.06,0.003,1.5873015873015874
147,9442017.19867198,196895.504210057,343892.6639218693,17194.633196093466,0.1,0.06,0.003,1.5873015873015874
148,9423150.611172281,203161.14028144343,355893.5700440705,17794.678502203526,0.1,0.06,0.003,1.5873015873015874
149,9403725.023460506,209586.03207193117,368275.18520720175,18413.75926036009,0.1,0.06,0.003,1.5873015873015874
150,9383729.042782912,216171.49671711915,381047.10523806326,19052.355261903165,0.1,0.06,0.003,1.5873015873015874
151,9363151.391338468,222918.65953983544,394218.9991635181,19710.949958175905,0.1,0.06,0.003,1.5873015873015874
152,9341980.93478294,229828.4380545509,407800.59729762474,20390.02986488124,0.1,0.06,0.003,1.5873015873015874
153,9320206.71122504,236901.52659925926,421801.678262571,21090.08391312855,0.1,0.06,0.003,1.5873015873015874
