day,S,I,R,D,beta,gamma,mu,R0
0,9999000.0,1000.0,0.0,0.0,0.15,0.06,0.003,2.380952380952381
1,9998843.375980975,1090.8043469345016,62.685401998735806,3.134270099936787,0.14986301369863014,0.06,0.003,2.3787779952163515
2,9998672.700777415,1189.688242772731,131.05807602066943,6.552903801033465,0.14972602739726026,0.06,0.003,2.3766036094803216
3,9998486.740192013,1297.3550187061944,205.62360884707323,10.281180442353655,0.1495890410958904,0.06,0.003,2.374429223744292
4,9998284.154096333,1414.5677695112865,286.9315563466495,14.346577817332461,0.14945205479452053,0.06,0.003,2.372254838008262
5,9998063.48755844,1542.1543004543053,375.5791820142921,18.778959100714594,0.14931506849315068,0.06,0.003,2.370080452272233
6,9997823.161361773,1681.0124084580752,472.2154569298053,23.610772846490256,0.1491780821917808,0.06,0.003,2.3679060665362033
7,9997561.461462002,1832.1157459325855,577.5455162599878,28.877275812999383,0.14904109589041095,0.06,0.003,2.365731680800174
8,9997276.528002894,1996.5199256547444,692.3353061519435,34.61676530759717,0.1489041095890411,0.06,0.003,2.3635572950641444
9,9996966.343135046,2175.369280058507,817.416747526667,40.87083737633334,0.14876712328767122,0.06,0.003,2.3613829093281145
10,9996628.718000317,2369.904076119816,953.69326054263,47.68466302713149,0.14863013698630137,0.06,0.003,2.3592085235920854
11,9996261.27865051,2581.468309892534,1102.1457520055915,55.10728760027957,0.1484931506849315,0.06,0.003,2.3570341378560555
12,9995861.450845337,2811.5181106287464,1263.8390895640018,63.19195447820008,0.14835616438356164,0.06,0.003,2.354859752120026
13,9995426.443651376,3061.6307947741648,1439.9290989111187,71.99645494555591,0.1482191780821918,0.06,0.003,2.3526853663839966
14,9994953.231761971,3333.514612347436,1631.6701197026678,81.58350598513336,0.1480821917808219,0.06,0.003,2.3505109806479667
15,9994438.536430709,3629.0192415890206,1840.4231692473477,92.02115846236735,0.14794520547945206,0.06,0.003,2.3483365949119372
16,9993878.804871174,3950.1471089953725,2067.6647807992726,103.3832390399636,0.14780821917808218,0.06,0.003,2.346162209175908
17,9993270.188136045,4299.065526651127,2314.996511725786,115.74982558628929,0.14767123287671233,0.06,0.003,2.3439878234398783
18,9992608.517233979,4678.119772614823,2584.155231823099,129.2077615911549,0.14753424657534245,0.06,0.003,2.3418134377038484
19,9991889.277448071,5089.847131460596,2877.02420997576,143.85121049878802,0.1473972602739726,0.06,0.003,2.339639051967819
20,9991107.580659172,5536.991996255785,3195.6450900776363,159.7822545038818,0.14726027397260275,0.06,0.003,2.3374646662317895
21,9990258.135595297,6022.522070035062,3542.2307949283536,177.11153974641766,0.14712328767123287,0.06,0.003,2.3352902804957596
22,9989335.215835495,6549.6457531118795,3919.179439428707,195.95897197143532,0.14698630136986301,0.06,0.003,2.3331158947597306
