dataset,description,S_MSE,I_MSE,R_MSE,D_MSE,S_RMSE,I_RMSE,R_RMSE,D_RMSE,S_MAE,I_MAE,R_MAE,D_MAE,beta_pred,gamma_pred,mu_pred,beta_true,beta_rel_error,beta_rel_error_percent,gamma_true,gamma_rel_error,gamma_rel_error_percent,mu_true,mu_rel_error,mu_rel_error_percent
01_baseline_constant,Базовый (константы),2360.1143345803453,87.68453491119945,19675.56510254886,55.95048149205379,48.5810079617575,9.364002077701578,140.26961574963005,7.480005447327815,36.92646336105242,5.171807211668588,103.22830908789028,5.48957605399759,0.09100609356445855,0.05137199108600321,0.007222546753326287,0.1,0.0899390643554146,8.99390643554146,0.06,0.14380014856661313,14.380014856661314,0.003,1.4075155844420955,140.75155844420954
02_lockdown_beta_jump,Локдаун (скачок β),0.10833552674258745,0.040461946892671075,2.718182629204293,0.001365005694611358,0.32914362631317573,0.2011515520513602,1.6486911867309455,0.03694598347062043,0.228365369222729,0.15103486537875183,1.0757292695341656,0.023807594867457402,0.06639851256548951,0.0601181414430626,0.004481395577264513,,,,,,,,,
03_seasonal_beta_sin,Сезонность (плавная β),1280.5098151683965,134.59963553807586,26900.702208436145,99.25193755711939,35.784211814267984,11.601708302576645,164.01433537479627,9.96252666531535,21.642817617345273,4.886495034530772,126.8963790461689,7.672464505550962,0.09220365027705929,0.0445809821944399,0.008267432872523572,,,,,,,,,
04_decaying_beta_trend,Затухание (β 0.15→0.1),448.07462358690043,6.132300913517032,648.7630897179115,1.2983300546544951,21.16777323165808,2.4763483021410844,25.470828210286204,1.139442870289904,15.9819869714632,1.1663773488678484,18.610531063703466,0.833996935774373,0.14037410661225208,0.06037383631264642,0.003424326611299322,,,,,,,,,
05_complex_beta_gamma_dynamics,Сложный (β+γ),25196.307732461748,392.09738992857336,31772.484357237703,75.61502754698124,158.73344868823884,19.801449187586584,178.2483782737944,8.695690170824927,119.94605345047916,11.365738235997561,131.1423342566855,6.411618125550458,0.08390829084639018,0.057866272673326336,0.005156784589861241,,,,,,,,,
02_lockdown_beta_jump_noise_3pct_seed42,Локдаун + шум 3%,2.499679736268907,0.15842810756125447,5.871078374613829,0.040197649978331806,1.5810375505562502,0.3980302847287559,2.423030824115498,0.200493516050599,1.1250601622146355,0.301323201818282,1.687260945861321,0.16431645704750078,0.06676902978757937,0.06054990271792082,0.004459005394700899,,,,,,,,,
02_lockdown_beta_jump_noise_5pct_seed123,Локдаун + шум 5%,0.4847110750441426,0.3371243823810049,7.311717171565101,0.024082573723404103,0.6962119469271858,0.5806241317590967,2.704018707695104,0.1551856105552448,0.4975286061250502,0.42889817010920855,1.8116993200137257,0.12252462334250024,0.06607745719035618,0.05995285356781799,0.004476215538379735,,,,,,,,,
02_lockdown_beta_jump_noise_10pct_seed456,Локдаун + шум 10%,0.07933685297214778,1.6734023906726696,0.12103462890767401,0.10022026829254478,0.28166798357667094,1.2936005529809693,0.34790031461278387,0.31657584919343545,0.21564867802799248,0.9192164215065024,0.26402707550229143,0.24945716146510738,0.06560586137541974,0.05910020977415409,0.004604759554970417,,,,,,,,,
05_complex_beta_gamma_dynamics_noise_3pct_seed42,Сложный + шум 3%,23308.71075989912,423.1568852280446,30427.615806267255,20.833477447899956,152.67190560119147,20.570777458036062,174.4351335203641,4.564370432808883,115.21512541103596,12.393530307557745,128.0534050767868,3.505530082067437,0.08611859382383924,0.05908379585626533,0.005813435901060593,,,,,,,,,
05_complex_beta_gamma_dynamics_noise_5pct_seed123,Сложный + шум 5%,31448.153688777787,422.16424802704677,34435.85197686268,68.05103105218714,177.33627290765358,20.54663592968559,185.56899519279258,8.249304882969664,133.6922425032849,12.892894709755986,136.11111623480443,6.328708803409613,0.08121743450365176,0.05710387816176116,0.004656490129661794,,,,,,,,,
05_complex_beta_gamma_dynamics_noise_10pct_seed456,Сложный + шум 10%,38120.83532658207,693.6474616956729,40577.80915987597,156.72107118463623,195.24557697059893,26.337187809173418,201.43934362451634,12.518828666637955,147.2681910791627,17.44084559665847,147.96145765161998,9.782682122292861,0.08542113609096486,0.062123981433307385,0.004663727130931716,,,,,,,,,
