dataset,description,S_MSE,I_MSE,R_MSE,D_MSE,S_RMSE,I_RMSE,R_RMSE,D_RMSE,S_MAE,I_MAE,R_MAE,D_MAE,mu_RMSE,mu_R2,beta_RMSE,beta_R2,gamma_RMSE,gamma_R2
01_baseline_constant,Базовый (константы),145723.0542876875,1240.321751155543,118471.61931978427,330.88095106244407,381.73689144185096,35.218201986409575,344.1970646588728,18.19013334372357,303.7465056366904,23.76492916589906,265.8040302925266,14.147289125862729,0.001937659805020995,-1.9962481728259775e+31,,,,
02_lockdown_beta_jump,Локдаун (скачок β),509.3375730738662,2.714808760477629,418.8847845816353,1.019143537552108,22.568508437064825,1.6476676729479245,20.46667497620547,1.0095263926971438,20.093491564497583,1.1504409686986117,17.803239215853665,0.8667654551928402,0.0018773914092060228,-1.8739980018273972e+31,0.08187955075565123,-7.909483769884206,,
03_seasonal_beta_sin,Сезонность (плавная β),71598.10554780714,1441.0577867750633,56492.72340015955,247.30255188878343,267.5782232316508,37.96126692794991,237.6819795444315,15.725856157576395,219.00134681090208,22.240812402063977,188.1579930566281,12.298401730427436,0.0021225863786666385,-2.395467134608907e+31,0.07477740544579949,-3.6155827119244943,,
04_decaying_beta_trend,Затухание (β 0.15→0.1),109136.80977169563,792.1960076184043,95121.59611936266,536.3141801153697,330.35860783653817,28.145976757227743,308.41789202211123,23.15845806860573,296.52752484548404,17.14714583619992,272.32607495451305,20.2614585654493,0.0025614641514601667,-3.4884783764730026e+31,0.08298692508097148,-31.876636770189762,,
05_complex_beta_gamma_dynamics,Сложный (β+γ),188957.95074906692,1482.970323981879,155522.92119426528,392.14600144664854,434.6929384623897,38.50935372064661,394.36394509927663,19.80267662329132,356.59204833564615,26.529283053954902,314.3436868144896,15.779160270930005,0.040770995317656794,-8.838164864582241e+33,0.3767866773920954,-317.01929436811923,0.31302776558786394,-1357.2958150779955
02_lockdown_beta_jump_noise_3pct_seed42,Локдаун + шум 3%,378.83442978538295,1.976362000319312,316.4707213198218,1.1409638114592264,19.463669484076814,1.4058314267078085,17.789623979157675,1.0681590759148314,17.22291429365646,1.0312292984220823,15.393721799949635,0.9326742057037936,0.002299285179136983,-2.8108984165368385e+31,0.08384067567341288,-8.341382984689346,,
02_lockdown_beta_jump_noise_5pct_seed123,Локдаун + шум 5%,396.2682976107058,2.3884574817077584,304.088057481396,2.62780370802307,19.906488831803205,1.5454635167831554,17.43812081278817,1.6210501867687719,17.567303844366105,1.1171500992880516,14.978851016596389,1.4537832566783513,0.002643678671211026,-3.7160094132561607e+31,0.038464160640196025,-0.966138729864868,,
02_lockdown_beta_jump_noise_10pct_seed456,Локдаун + шум 10%,402.52557672545856,4.301873561829938,381.0351776196665,0.6600662017193144,20.06304006688564,2.07409584200681,19.520122377169322,0.8124445837836045,17.729719138378563,1.4756224439093024,16.8645201906533,0.722656323817419,0.06074047677839976,-1.961624441605403e+34,0.06903438661584056,-5.333336735113471,,
05_complex_beta_gamma_dynamics_noise_3pct_seed42,Сложный + шум 3%,190912.60254958284,1499.813299992041,157463.00178267862,437.34479195161276,436.9354672598493,38.72742310033087,396.8160805495143,20.912790152239676,358.9002805588315,27.036765593294177,316.8346892977222,16.95170384648481,0.01509801061106573,-1.2119896846611637e+33,0.06593644123239413,-8.738978332735988,0.029561367400757238,-11.113724108521579
05_complex_beta_gamma_dynamics_noise_5pct_seed123,Сложный + шум 5%,133917.77827930963,1359.395212842221,106978.29719435202,344.3169429647231,365.9477808093794,36.86997712017491,327.0753692871905,18.555779233562873,294.38640722401993,25.791158160560038,254.38256810568927,14.778227597675395,0.048133129471544696,-1.2318211860736649e+34,0.07583075319231972,-11.881105348685509,0.027042072425209836,-9.136979854547805
05_complex_beta_gamma_dynamics_noise_10pct_seed456,Сложный + шум 10%,120183.15849784574,1394.7083233991705,104607.29109949972,47.5041531604972,346.67442723374586,37.34579391844777,323.4305042810584,6.892325671389679,275.84646582439893,26.212783070077172,249.99011415317196,5.52150270214217,0.0645697978623784,-2.21675820532012e+34,0.20926132876660428,-97.09352702067723,0.08450141027774587,-97.98207513688405
