experiment;mse;rmse;mae;r2;delta_mse;delta_rmse;delta_mae;delta_r2;model_path
dinn_experiment_20251009_124633;823938816.0;28704.333984375;25852.388671875;0.1481441855430603;560584176.0;12476.12890625;13861.0234375;0.5795781016349792;../runs/test/1/DeepSeek-V3.1\dinn_experiment_20251009_124633\model_checkpoint.pth
dinn_experiment_20251009_125249;254246768.0;15945.1171875;11777.2275390625;0.7371387481689453;9107872.0;283.087890625;214.1376953125;0.009416460990905762;../runs/test/1/DeepSeek-V3.1\dinn_experiment_20251009_125249\model_checkpoint.pth
dinn_experiment_20251009_125803;191758416.0;13847.6865234375;10227.1884765625;0.8017443418502808;71596224.0;2380.5185546875;1764.1767578125;0.07402205467224121;../runs/test/1/DeepSeek-V3.1\dinn_experiment_20251009_125803\model_checkpoint.pth
dinn_experiment_20251009_130332;271870944.0;16488.509765625;12194.09375;0.7189173698425293;8516304.0;260.3046875;202.728515625;0.008804917335510254;../runs/test/1/DeepSeek-V3.1\dinn_experiment_20251009_130332\model_checkpoint.pth
dinn_experiment_20251009_131017;218283408.0;14774.4169921875;10908.306640625;0.7743206024169922;45071232.0;1453.7880859375;1083.05859375;0.04659831523895264;../runs/test/1/DeepSeek-V3.1\dinn_experiment_20251009_131017\model_checkpoint.pth
dinn_experiment_20251012_092539;901727424.0;30028.77734375;25246.328125;0.06771987676620483;638372784.0;13800.572265625;13254.962890625;0.6600024104118347;../runs/test/1/DeepSeek-V3.1\dinn_experiment_20251012_092539\model_checkpoint.pth
dinn_experiment_20251012_093513;165219232.0;12853.763671875;9591.4140625;0.8291827440261841;98135408.0;3374.44140625;2399.951171875;0.10146045684814453;../runs/test/1/DeepSeek-V3.1\dinn_experiment_20251012_093513\model_checkpoint.pth
dinn_experiment_20251012_094153;404896416.0;20122.037109375;15486.4189453125;0.5813847184181213;141541776.0;3893.83203125;3495.0537109375;0.1463375687599182;../runs/test/1/DeepSeek-V3.1\dinn_experiment_20251012_094153\model_checkpoint.pth
dinn_experiment_20251012_095003;247022096.0;15716.9365234375;11601.513671875;0.7446081638336182;16332544.0;511.2685546875;389.8515625;0.016885876655578613;../runs/test/1/DeepSeek-V3.1\dinn_experiment_20251012_095003\model_checkpoint.pth
dinn_experiment_20251012_095506;247022096.0;15716.9365234375;11601.513671875;0.7446081638336182;16332544.0;511.2685546875;389.8515625;0.016885876655578613;../runs/test/1/DeepSeek-V3.1\dinn_experiment_20251012_095506\model_checkpoint.pth
dinn_experiment_20251012_100021;224195712.0;14973.166015625;11050.28125;0.7682080268859863;39158928.0;1255.0390625;941.083984375;0.04048573970794678;../runs/test/1/DeepSeek-V3.1\dinn_experiment_20251012_100021\model_checkpoint.pth
dinn_experiment_20251012_100524;191485328.0;13837.822265625;10301.51171875;0.8020266890525818;71869312.0;2390.3828125;1689.853515625;0.07430440187454224;../runs/test/1/DeepSeek-V3.1\dinn_experiment_20251012_100524\model_checkpoint.pth
dinn_experiment_20251012_101035;311580064.0;17651.630859375;14385.1953125;0.677862823009491;48225424.0;1423.42578125;2393.830078125;0.049859464168548584;../runs/test/1/DeepSeek-V3.1\dinn_experiment_20251012_101035\model_checkpoint.pth
dinn_experiment_20251012_101649;443139840.0;21050.88671875;16440.548828125;0.5418455600738525;179785200.0;4822.681640625;4449.18359375;0.185876727104187;../runs/test/1/DeepSeek-V3.1\dinn_experiment_20251012_101649\model_checkpoint.pth
dinn_experiment_20251012_102249;219032704.0;14799.75390625;10948.05078125;0.7735459208488464;44321936.0;1428.451171875;1043.314453125;0.045823633670806885;../runs/test/1/DeepSeek-V3.1\dinn_experiment_20251012_102249\model_checkpoint.pth
dinn_experiment_20251012_102800;291110272.0;17061.953125;10697.794921875;0.6990262269973755;27755632.0;833.748046875;1293.5703125;0.028696060180664062;../runs/test/1/DeepSeek-V3.1\dinn_experiment_20251012_102800\model_checkpoint.pth
dinn_experiment_20251012_103315;229610704.0;15152.9111328125;11199.365234375;0.7626095414161682;33743936.0;1075.2939453125;792.0;0.03488725423812866;../runs/test/1/DeepSeek-V3.1\dinn_experiment_20251012_103315\model_checkpoint.pth
dinn_experiment_20251012_103840;247022096.0;15716.9365234375;11601.513671875;0.7446081638336182;16332544.0;511.2685546875;389.8515625;0.016885876655578613;../runs/test/1/DeepSeek-V3.1\dinn_experiment_20251012_103840\model_checkpoint.pth
