experiment,mse,rmse,mae,r2,delta_mse,delta_rmse,delta_mae,delta_r2,model_path
dinn_experiment_20251009_092135,292871712.0,17113.494140625,12824.873046875,0.6972050666809082,29517072.0,885.2890625,833.5078125,0.030517220497131348,../runs/test/1/Llama-3.3-70B-Instruct\dinn_experiment_20251009_092135\model_checkpoint.pth
dinn_experiment_20251009_110046,552950784.0,23514.90625,15807.2392578125,0.42831385135650635,289596144.0,7286.701171875,3815.8740234375,0.2994084358215332,../runs/test/1/Llama-3.3-70B-Instruct\dinn_experiment_20251009_110046\model_checkpoint.pth
dinn_experiment_20251009_110622,232843680.0,15259.2158203125,11253.521484375,0.7592669725418091,30510960.0,968.9892578125,737.84375,0.03154468536376953,../runs/test/1/Llama-3.3-70B-Instruct\dinn_experiment_20251009_110622\model_checkpoint.pth
dinn_experiment_20251009_115243,178607808.0,13364.4228515625,9850.5400390625,0.815340518951416,84746832.0,2863.7822265625,2140.8251953125,0.08761823177337646,../runs/test/1/Llama-3.3-70B-Instruct\dinn_experiment_20251009_115243\model_checkpoint.pth
dinn_experiment_20251009_115802,215802384.0,14690.2138671875,11125.1943359375,0.7768857479095459,47552256.0,1537.9912109375,866.1708984375,0.04916346073150635,../runs/test/1/Llama-3.3-70B-Instruct\dinn_experiment_20251009_115802\model_checkpoint.pth
dinn_experiment_20251009_120306,247217872.0,15723.1630859375,11609.89453125,0.7444057464599609,16136768.0,505.0419921875,381.470703125,0.016683459281921387,../runs/test/1/Llama-3.3-70B-Instruct\dinn_experiment_20251009_120306\model_checkpoint.pth
dinn_experiment_20251009_155619,229290112.0,15142.328125,11168.33203125,0.7629410028457642,34064528.0,1085.876953125,823.033203125,0.03521871566772461,../runs/test/1/Llama-3.3-70B-Instruct\dinn_experiment_20251009_155619\model_checkpoint.pth
dinn_experiment_20251009_160316,450618656.0,21227.78125,16271.0185546875,0.5341132879257202,187264016.0,4999.576171875,4279.6533203125,0.19360899925231934,../runs/test/1/Llama-3.3-70B-Instruct\dinn_experiment_20251009_160316\model_checkpoint.pth
dinn_experiment_20251009_160916,3028946432.0,55035.86328125,46986.5625,-2.1315743923187256,2765591792.0,38807.658203125,34995.197265625,2.859296679496765,../runs/test/1/Llama-3.3-70B-Instruct\dinn_experiment_20251009_160916\model_checkpoint.pth
dinn_experiment_20251009_161422,534341910528.0,730986.9375,623028.3125,-551.4467163085938,534078555888.0,714758.732421875,611036.947265625,552.1744385957718,../runs/test/1/Llama-3.3-70B-Instruct\dinn_experiment_20251009_161422\model_checkpoint.pth
dinn_experiment_20251009_162015,239219280.0,15466.71484375,11379.6669921875,0.7526754140853882,24135360.0,761.490234375,611.6982421875,0.024953126907348633,../runs/test/1/Llama-3.3-70B-Instruct\dinn_experiment_20251009_162015\model_checkpoint.pth
dinn_experiment_20251009_162530,187310400.0,13686.138671875,10093.673828125,0.8063430786132812,76044240.0,2542.06640625,1897.69140625,0.0786207914352417,../runs/test/1/Llama-3.3-70B-Instruct\dinn_experiment_20251009_162530\model_checkpoint.pth
dinn_experiment_20251009_163102,130786369536.0,361643.96875,312141.46875,-134.2177276611328,130523014896.0,345415.763671875,300150.103515625,134.94544994831085,../runs/test/1/Llama-3.3-70B-Instruct\dinn_experiment_20251009_163102\model_checkpoint.pth
dinn_experiment_20251009_163625,454917920.0,21328.8046875,16451.677734375,0.5296683311462402,191563280.0,5100.599609375,4460.3125,0.19805395603179932,../runs/test/1/Llama-3.3-70B-Instruct\dinn_experiment_20251009_163625\model_checkpoint.pth
dinn_experiment_20251010_151955,171695600.0,13103.2666015625,9738.0263671875,0.822486937046051,91659040.0,3124.9384765625,2253.3388671875,0.09476464986801147,../runs/test/1/Llama-3.3-70B-Instruct\dinn_experiment_20251010_151955\model_checkpoint.pth
dinn_experiment_20251011_180706,247493088.0,15731.9130859375,11625.1728515625,0.744121253490448,15861552.0,496.2919921875,366.1923828125,0.016398966312408447,../runs/test/1/Llama-3.3-70B-Instruct\dinn_experiment_20251011_180706\model_checkpoint.pth
dinn_experiment_20251011_181326,1340629888.0,36614.61328125,25728.2109375,-0.3860536813735962,1077275248.0,20386.408203125,13736.845703125,1.1137759685516357,../runs/test/1/Llama-3.3-70B-Instruct\dinn_experiment_20251011_181326\model_checkpoint.pth
dinn_experiment_20251011_182604,171695600.0,13103.2666015625,9738.0263671875,0.822486937046051,91659040.0,3124.9384765625,2253.3388671875,0.09476464986801147,../runs/test/1/Llama-3.3-70B-Instruct\dinn_experiment_20251011_182604\model_checkpoint.pth
dinn_experiment_20251011_183053,292871712.0,17113.494140625,12824.873046875,0.6972050666809082,29517072.0,885.2890625,833.5078125,0.030517220497131348,../runs/test/1/Llama-3.3-70B-Instruct\dinn_experiment_20251011_183053\model_checkpoint.pth
dinn_experiment_20251011_183641,148266336.0,12176.466796875,9177.4716796875,0.8467100262641907,115088304.0,4051.73828125,2813.8935546875,0.11898773908615112,../runs/test/1/Llama-3.3-70B-Instruct\dinn_experiment_20251011_183641\model_checkpoint.pth
