experiment,mse,rmse,mae,r2,delta_mse,delta_rmse,delta_mae,delta_r2,model_path
dinn_experiment_20251007_205150,2676146432.0,51731.484375,41372.32421875,-1.7668206691741943,2412791792.0,35503.279296875,29380.958984375,2.494542956352234,../runs/test/1/Meta-Llama-3.1-8B-Instruct\dinn_experiment_20251007_205150\model_checkpoint.pth
dinn_experiment_20251007_211002,1544064896.0,39294.58984375,31654.619140625,-0.5963815450668335,1280710256.0,23066.384765625,19663.25390625,1.324103832244873,../runs/test/1/Meta-Llama-3.1-8B-Instruct\dinn_experiment_20251007_211002\model_checkpoint.pth
dinn_experiment_20251008_125447,225690512.0,15022.9990234375,11083.41015625,0.7666625380516052,37664128.0,1205.2060546875,907.955078125,0.038940250873565674,../runs/test/1/Meta-Llama-3.1-8B-Instruct\dinn_experiment_20251008_125447\model_checkpoint.pth
dinn_experiment_20251008_130404,483082976.0,21979.1484375,14324.0888671875,0.5005489587783813,219728336.0,5750.943359375,2332.7236328125,0.2271733283996582,../runs/test/1/Meta-Llama-3.1-8B-Instruct\dinn_experiment_20251008_130404\model_checkpoint.pth
dinn_experiment_20251008_134607,161854864.0,12722.2197265625,9527.5185546875,0.8326610922813416,101499776.0,3505.9853515625,2463.8466796875,0.104938805103302,../runs/test/1/Meta-Llama-3.1-8B-Instruct\dinn_experiment_20251008_134607\model_checkpoint.pth
dinn_experiment_20251008_135425,1308412416.0,36171.984375,32236.931640625,-0.35274457931518555,1045057776.0,19943.779296875,20245.56640625,1.080466866493225,../runs/test/1/Meta-Llama-3.1-8B-Instruct\dinn_experiment_20251008_135425\model_checkpoint.pth
dinn_experiment_20251008_140151,140289120.0,11844.37109375,9150.8701171875,0.8549575209617615,123065520.0,4383.833984375,2840.4951171875,0.12723523378372192,../runs/test/1/Meta-Llama-3.1-8B-Instruct\dinn_experiment_20251008_140151\model_checkpoint.pth
dinn_experiment_20251009_121752,247022096.0,15716.9365234375,11601.513671875,0.7446081638336182,16332544.0,511.2685546875,389.8515625,0.016885876655578613,../runs/test/1/Meta-Llama-3.1-8B-Instruct\dinn_experiment_20251009_121752\model_checkpoint.pth
dinn_experiment_20251009_122301,2940695296.0,54228.1796875,43445.5234375,-2.0403332710266113,2677340656.0,37999.974609375,31454.158203125,2.768055558204651,../runs/test/1/Meta-Llama-3.1-8B-Instruct\dinn_experiment_20251009_122301\model_checkpoint.pth
dinn_experiment_20251009_122815,133951856.0,11573.7568359375,9185.6279296875,0.8615095615386963,129402784.0,4654.4482421875,2805.7373046875,0.13378727436065674,../runs/test/1/Meta-Llama-3.1-8B-Instruct\dinn_experiment_20251009_122815\model_checkpoint.pth
dinn_experiment_20251009_123313,2940343808.0,54224.9375,43441.9609375,-2.0399696826934814,2676989168.0,37996.732421875,31450.595703125,2.767691969871521,../runs/test/1/Meta-Llama-3.1-8B-Instruct\dinn_experiment_20251009_123313\model_checkpoint.pth
dinn_experiment_20251009_123821,257106704.0,16034.546875,11847.615234375,0.7341818809509277,6247936.0,193.658203125,143.75,0.006459593772888184,../runs/test/1/Meta-Llama-3.1-8B-Instruct\dinn_experiment_20251009_123821\model_checkpoint.pth
dinn_experiment_20251011_194351,50193096704.0,224038.15625,183627.03125,-50.893760681152344,49929742064.0,207809.951171875,171635.666015625,51.62148296833038,../runs/test/1/Meta-Llama-3.1-8B-Instruct\dinn_experiment_20251011_194351\model_checkpoint.pth
dinn_experiment_20251011_195025,111755984896.0,334299.25,278757.25,-114.54254913330078,111492630256.0,318071.044921875,266765.884765625,115.27027142047882,../runs/test/1/Meta-Llama-3.1-8B-Instruct\dinn_experiment_20251011_195025\model_checkpoint.pth
dinn_experiment_20251011_205152,247022096.0,15716.9365234375,11601.513671875,0.7446081638336182,16332544.0,511.2685546875,389.8515625,0.016885876655578613,../runs/test/1/Meta-Llama-3.1-8B-Instruct\dinn_experiment_20251011_205152\model_checkpoint.pth
dinn_experiment_20251011_205652,31403630657536.0,5603894.0,5603808.0,-32466.662109375,31403367302896.0,5587665.794921875,5591816.634765625,32467.389831662178,../runs/test/1/Meta-Llama-3.1-8B-Instruct\dinn_experiment_20251011_205652\model_checkpoint.pth
dinn_experiment_20251008_133931,ERROR,,,,,,,,
dinn_experiment_20251009_121228,ERROR,,,,,,,,
dinn_experiment_20251011_210205,ERROR,,,,,,,,
